target,policy,method,label,test_molecules,calibration_rule,risk,mean_atom_fraction,equal_size_random_risk,risk_minus_random,precision,iou,tie_inflation
observed_class,include_all_exact_ties_v2,atom_occlusion,2,12,shared_all_nonempty_references,0.041882885632885634,0.9203873570325655,0.07961264296743453,-0.0377297573345489,0.39105396909748763,0.38298826253976165,0.0
observed_class,include_all_exact_ties_v2,gradinput,0,4,shared_all_nonempty_references,0.1845238095238095,0.9425657894736842,0.057434210526315796,0.12708959899749372,0.3118700829614142,0.30265597334095784,0.010228696741854636
observed_class,include_all_exact_ties_v2,gradinput,1,15,shared_all_nonempty_references,0.07513227513227513,0.9218862813287659,0.07811371867123404,-0.0029814435389589043,0.17073010397888055,0.1671376257596729,0.0034457671957671956
observed_class,include_all_exact_ties_v2,gradinput,2,12,shared_all_nonempty_references,0.06606973273639939,0.9236917486687576,0.07630825133124228,-0.01023851859484288,0.37805163078815984,0.36587112056047744,0.0010683760683760685
observed_class,include_all_exact_ties_v2,ig,0,4,shared_all_nonempty_references,0.22619047619047616,0.9460087719298246,0.05399122807017544,0.17219924812030074,0.3085950841284668,0.29931145839747264,0.0021929824561403508
observed_class,include_all_exact_ties_v2,ig,1,15,shared_all_nonempty_references,0.07208994708994708,0.9285998683865927,0.07140013161340734,0.000689815476539755,0.17007559984678564,0.16656024220852142,0.0037307201100304547
observed_class,include_all_exact_ties_v2,ig,2,12,shared_all_nonempty_references,0.06128747795414461,0.9326783760764377,0.06732162392356224,-0.006034145969417624,0.3795981545185539,0.3695019550157237,0.0032051282051282055
observed_class,include_all_exact_ties_v2,saliency,0,4,shared_all_nonempty_references,0.050595238095238096,0.9503947368421053,0.04960526315789473,0.0009899749373433603,0.32476193503081374,0.320156671872919,0.008662280701754385
observed_class,include_all_exact_ties_v2,saliency,1,15,shared_all_nonempty_references,0.04691358024691358,0.9346196332067856,0.06538036679321428,-0.01846678654630072,0.17585533425493177,0.174246780151935,0.009864651809096254
observed_class,include_all_exact_ties_v2,saliency,2,12,shared_all_nonempty_references,0.04944630986297654,0.9287165772221657,0.07128342277783421,-0.021837112914857685,0.3877507736570456,0.38051432306564004,0.0010683760683760685
observed_class,index_tiebreak_v1,atom_occlusion,0,4,shared_all_nonempty_references,0.16369047619047616,0.9355701754385966,0.0644298245614035,0.09926065162907269,0.31338798781422283,0.3040391459382912,0.0
observed_class,index_tiebreak_v1,atom_occlusion,1,15,shared_all_nonempty_references,0.05661375661375662,0.9180093161229187,0.08199068387708137,-0.02537692726332475,0.17583616787092268,0.17320512235667315,0.0
observed_class,index_tiebreak_v1,atom_occlusion,2,12,shared_all_nonempty_references,0.041882885632885634,0.9229791582354777,0.0770208417645222,-0.03513795613163658,0.3904594978146106,0.38239379125688466,0.0
observed_class,index_tiebreak_v1,gradinput,0,4,shared_all_nonempty_references,0.1984126984126984,0.9323370927318295,0.06766290726817044,0.13074979114452798,0.3097579808106124,0.2984013621397522,0.0
observed_class,index_tiebreak_v1,gradinput,1,15,shared_all_nonempty_references,0.07328042328042327,0.9197040292008617,0.08029597079913835,-0.007015547518715055,0.17151625924873148,0.16799802240811298,0.0
observed_class,index_tiebreak_v1,gradinput,2,12,shared_all_nonempty_references,0.061529134445801104,0.9243594837114927,0.07564051628850724,-0.014111381842706125,0.3793733766751231,0.3677852943496512,0.0
observed_class,index_tiebreak_v1,ig,0,4,shared_all_nonempty_references,0.22619047619047616,0.9475657894736842,0.0524342105263158,0.1737562656641604,0.30713309582437326,0.2978494700933791,0.0
observed_class,index_tiebreak_v1,ig,1,15,shared_all_nonempty_references,0.08011463844797179,0.9274919781216142,0.07250802187838572,0.007606616569586053,0.1694724604660571,0.16602134096220655,0.0
observed_class,index_tiebreak_v1,ig,2,12,shared_all_nonempty_references,0.05279982363315696,0.9346266277782737,0.0653733722217263,-0.012573548588569343,0.37990747544342235,0.37016607059363243,0.0
observed_class,index_tiebreak_v1,saliency,0,4,shared_all_nonempty_references,0.02678571428571428,0.9561184210526316,0.04388157894736844,-0.01709586466165415,0.3245646195803518,0.3214335279624181,0.0
observed_class,index_tiebreak_v1,saliency,1,15,shared_all_nonempty_references,0.05401234567901235,0.9398939073071002,0.060106092692899786,-0.0060937470138874425,0.17437446384076075,0.17280919296470912,0.0
observed_class,index_tiebreak_v1,saliency,2,12,shared_all_nonempty_references,0.03206824040157374,0.9455569466864504,0.054443053313549435,-0.022374812911975708,0.3875005358169861,0.38346635116535904,0.0
