cell_id,model,seed,target,method,policy,alpha,selected_fraction,corrected_calibration_risk,fallback_full,n_calibration,n_test,risk,mean_atom_fraction,precision,iou,tie_inflation,equal_size_random_risk,reference_first_schedule_risk,fixed_20_risk,fixed_20_mean_atom_fraction,fixed_20_precision,fixed_20_iou,fixed_50_risk,fixed_50_mean_atom_fraction,fixed_50_precision,fixed_50_iou
liver__gcn__seed123,gcn,123,hepatotoxic_class,ig,index_tiebreak_v1,0.05,0.95,0.0429560059317844,False,33,31,0.0106739138997203,0.9738696534249016,0.2754096527359654,0.2741310180402488,0.0,0.0261303465750981,0.0,0.7765272362046558,0.2205405425670831,0.2684331797235023,0.133175784788688,0.5125841900035448,0.5168316543735149,0.2556425732184745,0.194340309368273
liver__gcn__seed123,gcn,123,hepatotoxic_class,ig,index_tiebreak_v1,0.1,0.88,0.0890344373043335,False,33,31,0.0753672850447043,0.9067384790260048,0.281111482155388,0.2775878905107288,0.0,0.093261520973995,0.0,0.7765272362046558,0.2205405425670831,0.2684331797235023,0.133175784788688,0.5125841900035448,0.5168316543735149,0.2556425732184745,0.194340309368273
liver__gcn__seed123,gcn,123,hepatotoxic_class,ig,index_tiebreak_v1,0.2,0.79,0.1764079538300992,False,33,31,0.1727913663397534,0.8164803309362876,0.2748025933402682,0.2588896243419282,0.0,0.1835196690637122,0.0,0.7765272362046558,0.2205405425670831,0.2684331797235023,0.133175784788688,0.5125841900035448,0.5168316543735149,0.2556425732184745,0.194340309368273
liver__gcn__seed123,gcn,123,hepatotoxic_class,ig,include_all_exact_ties_v2,0.05,0.95,0.0429560059317844,False,33,31,0.0060656189688447,0.9764600737572574,0.2750154303765478,0.2739200801383092,0.0025904203323558,0.0235399262427423,0.0,0.7765272362046558,0.2330293370102421,0.2592165898617511,0.1255504352278545,0.4803261254874158,0.5291783389555327,0.2586092255060097,0.1986200632872459
liver__gcn__seed123,gcn,123,hepatotoxic_class,ig,include_all_exact_ties_v2,0.1,0.86,0.0890344373043335,False,33,31,0.1072117846311394,0.8896719672829929,0.278717694757382,0.272823065996338,0.0031640685290939,0.110328032717007,0.0,0.7765272362046558,0.2330293370102421,0.2592165898617511,0.1255504352278545,0.4803261254874158,0.5291783389555327,0.2586092255060097,0.1986200632872459
liver__gcn__seed123,gcn,123,hepatotoxic_class,ig,include_all_exact_ties_v2,0.2,0.76,0.1962501742778559,False,33,31,0.1553527118043247,0.7996245175856376,0.284376863367328,0.2691892992643453,0.0138915755727843,0.2003754824143626,0.0,0.7765272362046558,0.2330293370102421,0.2592165898617511,0.1255504352278545,0.4803261254874158,0.5291783389555327,0.2586092255060097,0.1986200632872459
liver__gcn__seed123,gcn,123,hepatotoxic_class,saliency,index_tiebreak_v1,0.05,0.95,0.0419198448610213,False,33,31,0.0698826263342392,0.9738696534249016,0.263824823936901,0.2585468597825281,0.0,0.0261303465750981,0.0,0.8014494466107371,0.2205405425670831,0.2374039938556067,0.1304817625975121,0.5411201701524281,0.5168316543735149,0.2484900983477833,0.1922239021569131
liver__gcn__seed123,gcn,123,hepatotoxic_class,saliency,index_tiebreak_v1,0.1,0.89,0.0869774833010127,False,33,31,0.1252215526409074,0.9199599374467046,0.2613903070281029,0.2509813410694563,0.0,0.0800400625532955,0.0,0.8014494466107371,0.2205405425670831,0.2374039938556067,0.1304817625975121,0.5411201701524281,0.5168316543735149,0.2484900983477833,0.1922239021569131
liver__gcn__seed123,gcn,123,hepatotoxic_class,saliency,index_tiebreak_v1,0.2,0.8300000000000001,0.1976630395748043,False,33,31,0.2164815471267084,0.8555840841239667,0.2524694310271212,0.2337037016098909,0.0,0.1444159158760332,0.0,0.8014494466107371,0.2205405425670831,0.2374039938556067,0.1304817625975121,0.5411201701524281,0.5168316543735149,0.2484900983477833,0.1922239021569131
liver__gcn__seed123,gcn,123,hepatotoxic_class,saliency,include_all_exact_ties_v2,0.05,0.95,0.0419198448610213,False,33,31,0.0652743314033636,0.9753359290847258,0.2648721636939182,0.2600131354423521,0.001466275659824,0.0246640709152741,0.0,0.7530623498365435,0.236808679703092,0.2532258064516129,0.1567362428842504,0.5411201701524281,0.5253245487959508,0.2477360137227309,0.191749108133732
