cell_id,model,seed,target,method,policy,alpha,selected_fraction,corrected_calibration_risk,fallback_full,n_calibration,n_test,risk,mean_atom_fraction,precision,iou,tie_inflation,equal_size_random_risk,reference_first_schedule_risk,fixed_20_risk,fixed_20_mean_atom_fraction,fixed_20_precision,fixed_20_iou,fixed_50_risk,fixed_50_mean_atom_fraction,fixed_50_precision,fixed_50_iou
liver__gcn__seed123,gcn,123,hepatotoxic_class,saliency,include_all_exact_ties_v2,0.1,0.89,0.0869774833010127,False,33,31,0.1252215526409074,0.921362461990884,0.2610411937757638,0.2506625854912337,0.0014025245441795,0.078637538009116,0.0,0.7530623498365435,0.236808679703092,0.2532258064516129,0.1567362428842504,0.5411201701524281,0.5253245487959508,0.2477360137227309,0.191749108133732
liver__gcn__seed123,gcn,123,hepatotoxic_class,saliency,include_all_exact_ties_v2,0.2,0.8300000000000001,0.1770748042806866,False,33,31,0.2105931702705896,0.8630000254108757,0.2515804124931065,0.2344323636288755,0.007415941286909,0.1369999745891242,0.0,0.7530623498365435,0.236808679703092,0.2532258064516129,0.1567362428842504,0.5411201701524281,0.5253245487959508,0.2477360137227309,0.191749108133732
liver__gcn__seed123,gcn,123,hepatotoxic_class,atom_occlusion,index_tiebreak_v1,0.05,0.95,0.0429560059317844,False,33,31,0.003584229390681,0.9738696534249016,0.2774929860692988,0.2768138689215909,0.0,0.0261303465750981,0.0,0.8012032770097288,0.2205405425670831,0.2428571428571428,0.119768610940088,0.4670822009531687,0.5168316543735149,0.2682695519744855,0.2078131781442477
liver__gcn__seed123,gcn,123,hepatotoxic_class,atom_occlusion,index_tiebreak_v1,0.1,0.89,0.0968634210848743,False,33,31,0.0401650321005159,0.9199599374467046,0.2823282018524345,0.2785613217372821,0.0,0.0800400625532955,0.0,0.8012032770097288,0.2205405425670831,0.2428571428571428,0.119768610940088,0.4670822009531687,0.5168316543735149,0.2682695519744855,0.2078131781442477
liver__gcn__seed123,gcn,123,hepatotoxic_class,atom_occlusion,index_tiebreak_v1,0.2,0.77,0.1871547714108267,False,33,31,0.1990035054551183,0.7969036435440862,0.2750341034139488,0.2559438355383986,0.0,0.2030963564559141,0.0,0.8012032770097288,0.2205405425670831,0.2428571428571428,0.119768610940088,0.4670822009531687,0.5168316543735149,0.2682695519744855,0.2078131781442477
liver__gcn__seed123,gcn,123,hepatotoxic_class,atom_occlusion,include_all_exact_ties_v2,0.05,0.95,0.0429560059317844,False,33,31,0.003584229390681,0.9770954598765146,0.2757951932000288,0.2751160760523208,0.0032258064516129,0.0229045401234852,0.0,0.8012032770097288,0.2205405425670831,0.2428571428571428,0.119768610940088,0.4563295127811257,0.5182979300333389,0.2707133447408589,0.2102945677224115
liver__gcn__seed123,gcn,123,hepatotoxic_class,atom_occlusion,include_all_exact_ties_v2,0.1,0.89,0.0854255125881423,False,33,31,0.0355567371696404,0.9229535835855118,0.2828918508291948,0.2793330872593078,0.0029936461388074,0.0770464164144881,0.0,0.8012032770097288,0.2205405425670831,0.2428571428571428,0.119768610940088,0.4563295127811257,0.5182979300333389,0.2707133447408589,0.2102945677224115
liver__gcn__seed123,gcn,123,hepatotoxic_class,atom_occlusion,include_all_exact_ties_v2,0.2,0.76,0.1945543979281003,False,33,31,0.1882508172830753,0.7939254663344099,0.2796909312394073,0.262136761674149,0.0081925243215565,0.2060745336655903,0.0,0.8012032770097288,0.2205405425670831,0.2428571428571428,0.119768610940088,0.4563295127811257,0.5182979300333389,0.2707133447408589,0.2102945677224115
liver__gcn__seed2026,gcn,2026,observed_class,gradinput,index_tiebreak_v1,0.05,0.95,0.0476405946994182,False,33,31,0.0572688959785733,0.9738696534249016,0.2689673436302438,0.2662070536070911,0.0,0.0261303465750981,0.0,0.5874492890621924,0.2205405425670831,0.4272657450076805,0.2425680054712312,0.3101736972704714,0.5168316543735149,0.3401754686384667,0.2825823248236611
liver__gcn__seed2026,gcn,2026,observed_class,gradinput,index_tiebreak_v1,0.1,0.91,0.0954491298781956,False,33,31,0.0812556619008231,0.939553010556796,0.271807076932105,0.2677997651716224,0.0,0.0604469894432039,0.0,0.5874492890621924,0.2205405425670831,0.4272657450076805,0.2425680054712312,0.3101736972704714,0.5168316543735149,0.3401754686384667,0.2825823248236611
