method,score_origin,grid,alpha,family,task,risk,mean_atom_fraction,precision,iou
ig,P01_checkpoint_rerun,exact_integer,0.1,bxaic,P,0.11028737228718782,0.0365457382575857,0.9606844305120169,0.8509195242645365
ig,P01_checkpoint_rerun,exact_integer,0.1,bxaic,PAINS,0.09482908671623491,0.8458628049039228,0.36435197604992164,0.3485169209432277
ig,P01_checkpoint_rerun,exact_integer,0.1,bxaic,X,0.09219764210905267,0.0681479369393903,0.72745180246952,0.6353132201289569
ig,P01_checkpoint_rerun,exact_integer,0.1,bxaic,indole,0.09528158326096581,0.6882810907811437,0.4120376647221819,0.3924025903487085
ig,P01_checkpoint_rerun,exact_integer,0.1,bxaic,rings-count,0.09476755686646117,0.9055041791156205,0.6437879345081265,0.6063985818010641
ig,P01_checkpoint_rerun,exact_integer,0.1,bxaic,rings-max,0.09141692457405988,0.9244126466079479,0.26493969518143407,0.2580700205015196
ig,P01_checkpoint_rerun,exact_integer,0.1,google,benzene,0.09982601649268313,0.6160903116491832,0.5506357255196261,0.5118202989765701
ig,P01_checkpoint_rerun,exact_integer,0.1,google,logic10,0.09853045020455714,0.8018045505480559,0.5646969101728699,0.5317032480893534
ig,P01_checkpoint_rerun,exact_integer,0.1,google,logic7,0.07188449848024311,0.7268927106670295,0.25761508640828257,0.253370874224981
ig,P01_checkpoint_rerun,exact_integer,0.1,google,logic8,0.07925613537026568,0.8859081404128774,0.3184758622469542,0.31019172933272793
ig,P01_checkpoint_rerun,exact_integer,0.2,bxaic,B,0.0290519877675841,0.0386003571497199,0.9908256880733944,0.9617737003058103
ig,P01_checkpoint_rerun,exact_integer,0.2,bxaic,P,0.1266319679767033,0.0347549874610955,0.9924242424242423,0.8663147404872463
ig,P01_checkpoint_rerun,exact_integer,0.2,bxaic,PAINS,0.19598724215703225,0.684800332453093,0.40001577380133274,0.35973754309229394
ig,P01_checkpoint_rerun,exact_integer,0.2,bxaic,X,0.19828389187000148,0.0432521799187035,0.9242174580675643,0.7259926259660473
ig,P01_checkpoint_rerun,exact_integer,0.2,bxaic,indole,0.19225207865119343,0.5057565559745898,0.4956920983596563,0.4362954746830953
ig,P01_checkpoint_rerun,exact_integer,0.2,bxaic,rings-count,0.1979318612813125,0.8104646384062191,0.6411522444343744,0.5619510216751076
ig,P01_checkpoint_rerun,exact_integer,0.2,bxaic,rings-max,0.19160747284067156,0.8138037235263229,0.2680158461186002,0.2521521652021334
ig,P01_checkpoint_rerun,exact_integer,0.2,google,benzene,0.20068497730534754,0.4920991990798766,0.6101047186695334,0.5213503112423084
ig,P01_checkpoint_rerun,exact_integer,0.2,google,logic10,0.19711190347351057,0.6423797626289628,0.6216547586886346,0.5408470713242869
ig,P01_checkpoint_rerun,exact_integer,0.2,google,logic7,0.1548252279635258,0.552471880755247,0.3151511918795036,0.29933943542150887
ig,P01_checkpoint_rerun,exact_integer,0.2,google,logic8,0.18919412159901275,0.7703418152360899,0.32744244362499986,0.30501240302614036
ig,P01_checkpoint_rerun,machine,0.05,bxaic,B,0.0290519877675841,0.0386003571497199,0.9908256880733944,0.9617737003058103
ig,P01_checkpoint_rerun,machine,0.05,bxaic,P,0.0423878015155905,0.056013472476178904,0.7105022850712505,0.6681144835556599
ig,P01_checkpoint_rerun,machine,0.05,bxaic,PAINS,0.046642237673555215,0.924562708789399,0.35203131600915666,0.34499170964441844
ig,P01_checkpoint_rerun,machine,0.05,bxaic,X,0.04720914470205745,0.0880659152983928,0.6166827092859378,0.5694932511733776
ig,P01_checkpoint_rerun,machine,0.05,bxaic,indole,0.047594010409838496,0.8280768510281765,0.36257373982725044,0.35551278731741504
ig,P01_checkpoint_rerun,machine,0.05,bxaic,rings-count,0.04469798787369015,0.9523500143181503,0.6441007198308079,0.6263053464802475
ig,P01_checkpoint_rerun,machine,0.05,bxaic,rings-max,0.043369141745062796,0.9587177179968803,0.26896309305122923,0.2657309918941665
ig,P01_checkpoint_rerun,machine,0.05,google,benzene,0.049460935803528366,0.7144908968395747,0.5010075293944686,0.484093628915697
ig,P01_checkpoint_rerun,machine,0.05,google,logic10,0.04773664455584092,0.881320125321135,0.5398110880899133,0.5261659505173116
ig,P01_checkpoint_rerun,machine,0.05,google,logic7,0.024383654170888166,0.8441911774159535,0.2296063028616843,0.22815619038138316
ig,P01_checkpoint_rerun,machine,0.05,google,logic8,0.038369395298743066,0.9382671774665116,0.3134697608170215,0.3099324423306545
ig,P01_checkpoint_rerun,machine,0.1,bxaic,B,0.0290519877675841,0.0386003571497199,0.9908256880733944,0.9617737003058103
ig,P01_checkpoint_rerun,machine,0.1,bxaic,P,0.11028737228718782,0.0365457382575857,0.9606844305120169,0.8509195242645365
ig,P01_checkpoint_rerun,machine,0.1,bxaic,PAINS,0.09482908671623491,0.8458628049039228,0.36435197604992164,0.3485169209432277
ig,P01_checkpoint_rerun,machine,0.1,bxaic,X,0.09219764210905267,0.0681479369393903,0.72745180246952,0.6353132201289569
