grid,alpha,left,right,metric,mean_delta,q025,q975,negative_cells,positive_cells,ties,interval_scope
exact_integer,0.2,gradinput,atom_occlusion,iou,-0.1020063509245383,-0.15545395708595855,-0.056480954529844155,52,0,14,descriptive 11 observed tasks from two dependent families
exact_integer,0.2,gradinput,saliency,risk,-0.01344240401612708,-0.0335005725337149,0.004120462275223527,46,20,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.2,gradinput,saliency,mean_atom_fraction,0.06352516944142356,-0.006481044684164155,0.1326880336911,24,32,10,descriptive 11 observed tasks from two dependent families
exact_integer,0.2,gradinput,saliency,precision,0.040621015361400954,-0.07072664843995766,0.17457714678413563,34,32,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.2,gradinput,saliency,iou,0.0336871773307231,-0.0534902138610238,0.13535047969528466,34,32,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.2,atom_occlusion,saliency,risk,-0.008806498163915336,-0.03081731212871461,0.012169319801112665,37,29,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.2,atom_occlusion,saliency,mean_atom_fraction,-0.11178734321005734,-0.20170654841448993,-0.038868574532355926,48,6,12,descriptive 11 observed tasks from two dependent families
exact_integer,0.2,atom_occlusion,saliency,precision,0.17282140735829565,0.08117332332507188,0.28920350132256156,8,58,0,descriptive 11 observed tasks from two dependent families
exact_integer,0.2,atom_occlusion,saliency,iou,0.1356935282552614,0.06585514727888252,0.21956965143116494,8,58,0,descriptive 11 observed tasks from two dependent families
machine,0.2,ig,gradinput,risk,0.0049154542831565525,0.0018240875314693961,0.0083026515159822,17,35,14,descriptive 11 observed tasks from two dependent families
machine,0.2,ig,gradinput,mean_atom_fraction,-0.08214383677803151,-0.1357024464234492,-0.036908542893121905,34,11,21,descriptive 11 observed tasks from two dependent families
machine,0.2,ig,gradinput,precision,0.041486337312452,0.021045343056809003,0.06639406877296276,15,37,14,descriptive 11 observed tasks from two dependent families
machine,0.2,ig,gradinput,iou,0.031781578909382206,0.015112186537772946,0.05239422277986178,16,36,14,descriptive 11 observed tasks from two dependent families
machine,0.2,ig,atom_occlusion,risk,0.0003977678711256556,-0.006128802566559543,0.0058987436202805315,26,26,14,descriptive 11 observed tasks from two dependent families
machine,0.2,ig,atom_occlusion,mean_atom_fraction,0.09296861578036139,0.04831637802885143,0.14058910652043252,7,40,19,descriptive 11 observed tasks from two dependent families
machine,0.2,ig,atom_occlusion,precision,-0.0907155873044622,-0.13921965757164717,-0.04684135991980004,43,9,14,descriptive 11 observed tasks from two dependent families
machine,0.2,ig,atom_occlusion,iou,-0.07028584047540025,-0.10503609900111059,-0.038299948256645185,45,7,14,descriptive 11 observed tasks from two dependent families
