cell_id,family,task,model,seed,method,score_origin,alpha,historical_q,current_q,q_change,delta_risk,delta_mean_atom_fraction,delta_precision,delta_iou
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,ig,P01_checkpoint_rerun,0.1,76,76,0,1.915134717478395e-15,-2.886579864025407e-15,2.55351295663786e-15,2.275957200481571e-15
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,ig,P01_checkpoint_rerun,0.2,51,51,0,-1.5820678100908479e-15,-4.329869796038111e-15,1.4432899320127037e-15,2.720046410331633e-15
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,gradinput,P01_checkpoint_rerun,0.05,96,96,0,7.840950111415168e-16,6.994405055138486e-15,1.1657341758564144e-15,1.7763568394002505e-15
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,gradinput,P01_checkpoint_rerun,0.1,83,83,0,2.0122792321330962e-15,-6.772360450213455e-15,1.3877787807814457e-15,1.3322676295501878e-15
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,gradinput,P01_checkpoint_rerun,0.2,51,51,0,-1.887379141862766e-15,-4.329869796038111e-15,2.4980018054066026e-15,2.609024107869118e-15
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,atom_occlusion,P20_frozen_cache,0.05,67,67,0,0.0,0.0,0.0,0.0
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,atom_occlusion,P20_frozen_cache,0.1,56,56,0,0.0,0.0,0.0,0.0
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,atom_occlusion,P20_frozen_cache,0.2,43,43,0,0.0,0.0,0.0,0.0
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,saliency,P20_frozen_cache,0.05,92,92,0,0.0,0.0,0.0,0.0
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,saliency,P20_frozen_cache,0.1,85,85,0,0.0,0.0,0.0,0.0
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,saliency,P20_frozen_cache,0.2,74,74,0,0.0,0.0,0.0,0.0
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,ig,P01_checkpoint_rerun,0.05,81,81,0,4.996003610813204e-16,-5.773159728050814e-15,1.7208456881689926e-15,1.6653345369377348e-15
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,ig,P01_checkpoint_rerun,0.1,71,71,0,1.457167719820518e-15,3.4416913763379853e-15,1.4432899320127037e-15,1.7208456881689926e-15
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,ig,P01_checkpoint_rerun,0.2,58,58,0,-1.2212453270876722e-15,3.885780586188048e-15,1.4988010832439613e-15,1.7763568394002505e-15
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,gradinput,P01_checkpoint_rerun,0.05,97,97,0,2.4286128663675302e-17,-2.1094237467877974e-15,1.7763568394002505e-15,1.942890293094024e-15
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,gradinput,P01_checkpoint_rerun,0.1,87,87,0,2.0122792321330962e-15,6.8833827526759706e-15,1.942890293094024e-15,1.3322676295501878e-15
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,gradinput,P01_checkpoint_rerun,0.2,51,51,0,1.9428902930940242e-16,-4.329869796038111e-15,2.05391259555654e-15,1.887379141862766e-15
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,atom_occlusion,P20_frozen_cache,0.05,66,66,0,0.0,0.0,0.0,0.0
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,atom_occlusion,P20_frozen_cache,0.1,55,55,0,0.0,0.0,0.0,0.0
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,atom_occlusion,P20_frozen_cache,0.2,42,42,0,0.0,0.0,0.0,0.0
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,saliency,P20_frozen_cache,0.05,79,79,0,0.0,0.0,0.0,0.0
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,saliency,P20_frozen_cache,0.1,70,70,0,0.0,0.0,0.0,0.0
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,saliency,P20_frozen_cache,0.2,60,60,0,0.0,0.0,0.0,0.0
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,ig,P01_checkpoint_rerun,0.05,77,77,0,5.620504062164855e-16,-3.4416913763379853e-15,1.7763568394002505e-15,7.2164496600635185e-16
