method,score_origin,grid,split,q,nominal_fraction,risk,mean_atom_fraction,precision,iou
atom_occlusion,P20_frozen_cache,exact_integer,test,31,0.31,0.283829250365204,0.32860023039442254,0.4799633087675448,0.36378984626206895
atom_occlusion,P20_frozen_cache,exact_integer,test,32,0.32,0.275399582064454,0.33925999046830907,0.4746892829986277,0.363820222723169
atom_occlusion,P20_frozen_cache,exact_integer,test,33,0.33,0.26917436874599876,0.3467032986635782,0.4712799489766404,0.36392107174353006
atom_occlusion,P20_frozen_cache,exact_integer,test,34,0.34,0.25857864332892083,0.35949544471619393,0.46588974741952316,0.3650853312722711
atom_occlusion,P20_frozen_cache,exact_integer,test,35,0.35,0.25250888849050174,0.36792782912592475,0.46248785343630444,0.3649177492978745
atom_occlusion,P20_frozen_cache,exact_integer,test,36,0.36,0.24618918969396045,0.3770829257526961,0.45872843722921397,0.3648968981546365
atom_occlusion,P20_frozen_cache,exact_integer,test,37,0.37,0.23711332791829748,0.38961068757641676,0.4525754882861709,0.3641346927352713
atom_occlusion,P20_frozen_cache,exact_integer,test,38,0.38,0.2305548850020408,0.39939845277720754,0.44879663980776735,0.3638736528322725
atom_occlusion,P20_frozen_cache,exact_integer,test,39,0.39,0.22451572781899895,0.4082696190713175,0.44556047901667634,0.3640630880506463
atom_occlusion,P20_frozen_cache,exact_integer,test,40,0.4,0.22035773142286527,0.41455919841573446,0.44282471393002587,0.36350283569596487
atom_occlusion,P20_frozen_cache,exact_integer,test,41,0.41,0.21010439625209706,0.4303893326616187,0.43619515585537,0.3622697818017783
atom_occlusion,P20_frozen_cache,exact_integer,test,42,0.42,0.20410091986438808,0.4398554158880383,0.4326894264407272,0.3618107224381261
atom_occlusion,P20_frozen_cache,exact_integer,test,43,0.43,0.19815827789363244,0.450050795678216,0.42883524779103344,0.36119508625988284
atom_occlusion,P20_frozen_cache,exact_integer,test,44,0.44,0.19362613542437238,0.45819079115567507,0.42556322850743245,0.36008621030043886
atom_occlusion,P20_frozen_cache,exact_integer,test,45,0.45,0.18819637999943983,0.4671690544551717,0.4223582757585117,0.35946252538278495
atom_occlusion,P20_frozen_cache,exact_integer,test,46,0.46,0.17974957970983144,0.48145240830700936,0.4168105216776885,0.35796466633098384
atom_occlusion,P20_frozen_cache,exact_integer,test,47,0.47,0.17658155802667652,0.48752449628047295,0.41523848705383914,0.35769019419893444
atom_occlusion,P20_frozen_cache,exact_integer,test,48,0.48,0.16941286119097354,0.49969655493487414,0.410470415416536,0.3564738416270088
atom_occlusion,P20_frozen_cache,exact_integer,test,49,0.49,0.1649803120689601,0.5087908781930854,0.40732307966625136,0.35508241052874556
