cell_id,family,task,model,seed,method,score_origin,alpha,q,risk,mean_atom_fraction,precision,iou
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,gradinput,P01_historical,0.05,97,0.0505745823287783,0.9902939499285958,0.3073198805103379,0.3055802206595275
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,gradinput,P01_historical,0.1,96,0.0988452823320176,0.9747994993281844,0.2976899691448798,0.2916663100285164
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,gradinput,P01_historical,0.2,93,0.178875480682465,0.9462280636892684,0.2819476761177785,0.2689078394726386
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,atom_occlusion,P20_historical,0.05,47,0.0430821637305127,0.4859745523486533,0.6050230394148074,0.5805035912508623
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,atom_occlusion,P20_historical,0.1,37,0.0892699835106451,0.3856673704178531,0.713128755268573,0.6518451693270098
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,atom_occlusion,P20_historical,0.2,27,0.1910711255797877,0.2866347238712632,0.8302809381063192,0.6753981263926109
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,saliency,P20_historical,0.05,76,0.0409917445245006,0.7755804835293979,0.3846428139446537,0.3767261126345091
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,saliency,P20_historical,0.1,63,0.0969467697675617,0.6469652587254012,0.431016509339045,0.4086132805380003
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,saliency,P20_historical,0.2,44,0.1971906009128543,0.4554649986536656,0.5346192799306503,0.4636745448974465
bxaic__indole__gin__seed42,bxaic,indole,gin,42,ig,P01_historical,0.05,79,0.0491426383278034,0.8060574077896909,0.3689063948135434,0.361453099412478
bxaic__indole__gin__seed42,bxaic,indole,gin,42,ig,P01_historical,0.1,67,0.0980146445224951,0.6886269315023926,0.4092258497899259,0.3905567755889931
bxaic__indole__gin__seed42,bxaic,indole,gin,42,ig,P01_historical,0.2,47,0.198500185871599,0.4859745523486496,0.5060478751268158,0.4427403648296496
bxaic__indole__gin__seed42,bxaic,indole,gin,42,gradinput,P01_historical,0.05,96,0.0490741126366464,0.9747994993281844,0.3075204872019427,0.3036279059380937
bxaic__indole__gin__seed42,bxaic,indole,gin,42,gradinput,P01_historical,0.1,93,0.0921752491527803,0.9462280636892684,0.3024850796968595,0.2939082949413037
bxaic__indole__gin__seed42,bxaic,indole,gin,42,gradinput,P01_historical,0.2,85,0.2060787146940368,0.8652452057581679,0.289793930854149,0.270375900771881
bxaic__indole__gin__seed42,bxaic,indole,gin,42,atom_occlusion,P20_historical,0.05,44,0.0456926956317864,0.4554649986536656,0.6414726743558677,0.6132150966707766
bxaic__indole__gin__seed42,bxaic,indole,gin,42,atom_occlusion,P20_historical,0.1,35,0.0921819976029515,0.3678004329265359,0.7414573409404206,0.674430063899986
bxaic__indole__gin__seed42,bxaic,indole,gin,42,atom_occlusion,P20_historical,0.2,27,0.1791344669187118,0.2866347238712632,0.8380004888701552,0.6886127863029134
bxaic__indole__gin__seed42,bxaic,indole,gin,42,saliency,P20_historical,0.05,66,0.0417471274739822,0.6771674344541084,0.4396044806400717,0.429116282236358
bxaic__indole__gin__seed42,bxaic,indole,gin,42,saliency,P20_historical,0.1,56,0.0867166784668149,0.5771687133266318,0.4872282069646197,0.4619173808242405
bxaic__indole__gin__seed42,bxaic,indole,gin,42,saliency,P20_historical,0.2,43,0.1751980573718529,0.4472760748792189,0.5584179271563924,0.4941303925731432
bxaic__P__gcn__seed123,bxaic,P,gcn,123,ig,P01_historical,0.05,4,0.0423878015155905,0.0560134724761788,0.7105022850712506,0.6681144835556599
bxaic__P__gcn__seed123,bxaic,P,gcn,123,ig,P01_historical,0.1,2,0.1097649062474804,0.0365457382575857,0.961206896551724,0.8514419903042437
bxaic__P__gcn__seed123,bxaic,P,gcn,123,ig,P01_historical,0.2,1,0.1261095019369959,0.0347549874610954,0.9929467084639498,0.8668372065269538
bxaic__P__gcn__seed123,bxaic,P,gcn,123,gradinput,P01_historical,0.05,4,0.0423878015155905,0.0560134724761788,0.7105022850712506,0.6681144835556599
bxaic__P__gcn__seed123,bxaic,P,gcn,123,gradinput,P01_historical,0.1,2,0.1097649062474804,0.0365457382575857,0.961206896551724,0.8514419903042437
bxaic__P__gcn__seed123,bxaic,P,gcn,123,gradinput,P01_historical,0.2,1,0.1261095019369959,0.0347549874610954,0.9929467084639498,0.8668372065269538
