cell_id,family,task,model,seed,method,score_origin,grid,split,q,nominal_fraction,n,risk,mean_atom_fraction,precision,iou
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,71,0.71,119,0.0,0.7288244050170346,0.053799964551446,0.053799964551446
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,72,0.72,119,0.0,0.740024079294302,0.0528830969882815,0.0528830969882815
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,73,0.73,119,0.0,0.7519332652529006,0.0519751995991922,0.0519751995991922
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,74,0.74,119,0.0,0.7599404230458877,0.0514383947412278,0.0514383947412278
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,75,0.75,119,0.0,0.7645116808586854,0.0512224623361926,0.0512224623361926
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,76,0.76,119,0.0,0.7777176438317519,0.0504077699779266,0.0504077699779266
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,77,0.77,119,0.0,0.7898512746222298,0.0495907331258045,0.0495907331258045
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,78,0.78,119,0.0,0.7986179992117688,0.0490802061382824,0.0490802061382824
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,79,0.79,119,0.0,0.8099978741135712,0.048332859037579,0.048332859037579
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,80,0.8,119,0.0,0.8168623683234347,0.0480007899075854,0.0480007899075854
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,81,0.81,119,0.0,0.8306272631628007,0.0471229104039543,0.0471229104039543
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,82,0.82,119,0.0,0.8408090355699912,0.0465547906053168,0.0465547906053168
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,83,0.83,119,0.0,0.8478023261685016,0.0462100898802306,0.0462100898802306
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,84,0.84,119,0.0,0.8588945223413355,0.0456377263836088,0.0456377263836088
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,85,0.85,119,0.0,0.8682581671450479,0.0451535590568539,0.0451535590568539
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,86,0.86,119,0.0,0.8808362166059782,0.0443877791792767,0.0443877791792767
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,87,0.87,119,0.0,0.8905315564938261,0.043946179371523,0.043946179371523
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,88,0.88,119,0.0,0.8991275720052992,0.0436160632408259,0.0436160632408259
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,89,0.89,119,0.0,0.9089606502605356,0.0431366223076812,0.0431366223076812
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,90,0.9,119,0.0,0.9156899397656268,0.042891828882156,0.042891828882156
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,91,0.91,119,0.0,0.9313050504911096,0.0420688160636612,0.0420688160636612
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,92,0.92,119,0.0,0.9390747364635084,0.0417567124856907,0.0417567124856907
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,93,0.93,119,0.0,0.950700247354491,0.0411319597766061,0.0411319597766061
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,94,0.94,119,0.0,0.9597226824334968,0.0408033618967547,0.0408033618967547
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,95,0.95,119,0.0,0.96876776713594,0.0404263003003811,0.0404263003003811
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,96,0.96,119,0.0,0.9813483307927238,0.0399032043614487,0.0399032043614487
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,97,0.97,119,0.0,0.9914946677981789,0.0395559945606539,0.0395559945606539
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,98,0.98,119,0.0,0.997968325848948,0.0393926412870072,0.0393926412870072
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,99,0.99,119,0.0,0.999802400928968,0.0393616059723779,0.0393616059723779
bxaic__B__gcn__seed123,bxaic,B,gcn,123,ig,P01_checkpoint_rerun,machine,calibration,100,1.0,119,0.0,1.0,0.0393597554963417,0.0393597554963417
