comparison,cell_id,family,task,first,second,rank_spearman_mean,rank_undefined_count,own_set_jaccard_mean,own_set_jaccard_min,common_fraction_set_jaccard_mean,delta_fraction,delta_risk,delta_mean_atom_fraction,delta_oracle_excess
target,google__logic7__gin__seed42,google,logic7,raw__zero__200,margin__zero__200,0.5700934056910884,0,0.8003394924016164,0.6428571428571429,0.8427976592333927,0.07000000000000006,0.023733535967578517,0.07909076316370367,0.08971609868314312
integration,google__logic7__gin__seed42,google,logic7,raw__fit_atom_mean__20,raw__fit_atom_mean__50,0.9903356450320363,0,1.0,1.0,1.0,0.0,0.0,0.0,-0.0019148936170213515
integration,google__logic7__gin__seed42,google,logic7,raw__fit_atom_mean__50,raw__fit_atom_mean__100,0.9961267129001892,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0019148936170213515
integration,google__logic7__gin__seed42,google,logic7,raw__fit_atom_mean__100,raw__fit_atom_mean__200,0.9980861034350824,0,1.0,1.0,1.0,0.0,0.0,0.0,-0.0019148936170213515
integration,google__logic7__gin__seed42,google,logic7,raw__fit_atom_mean__20,raw__fit_atom_mean__200,0.985538789263016,0,1.0,1.0,1.0,0.0,0.0,0.0,-0.0019148936170213515
target,google__logic7__gin__seed42,google,logic7,raw__fit_atom_mean__20,margin__fit_atom_mean__20,0.8206361597355292,0,0.9619616476647005,0.92,0.9554020647868935,-0.009999999999999898,0.0716565349544073,-0.032931969356576385,-0.03437249327095204
target,google__logic7__gin__seed42,google,logic7,raw__fit_atom_mean__200,margin__fit_atom_mean__200,0.83325074634853,0,0.9619616476647005,0.92,0.9581387283699955,-0.009999999999999898,0.06899696048632219,-0.032931969356576385,-0.03930162899891243
target,google__logic7__gin__seed42,google,logic7,raw__none__0,margin__none__0,0.6494385367423424,0,0.9559169834384277,0.92,0.9940425531914894,0.029999999999999916,-0.046124620060790274,0.03727450592327464,0.016516930165698773
integration,google__logic8__gin__seed42,google,logic8,raw__zero__20,raw__zero__50,0.9804447844662573,0,0.9827900845658282,0.8260869565217391,0.9827900845658282,0.0,-0.001289682539682535,0.0009741106719367565,-0.0003520798042536688
integration,google__logic8__gin__seed42,google,logic8,raw__zero__50,raw__zero__100,0.994310226673315,0,0.9790137976694041,0.75,0.9894440399417516,-0.010000000000000009,0.00077777777777778,-0.011132401656314905,-0.012106073153899555
integration,google__logic8__gin__seed42,google,logic8,raw__zero__100,raw__zero__200,0.9970542492396735,0,0.9866127060074429,0.85,0.9980692640692641,0.010000000000000009,-0.002857142857142836,0.010862836438923607,0.011241624317711585
integration,google__logic8__gin__seed42,google,logic8,raw__zero__20,raw__zero__200,0.9792431123482666,0,0.982324211384852,0.8571428571428571,0.982324211384852,0.0,-0.003369047619047591,0.0007045454545454577,-0.0012165286404416387
target,google__logic8__gin__seed42,google,logic8,raw__zero__20,margin__zero__20,0.11825668385738776,0,0.7646885409078742,0.6363636363636364,0.696905881848667,-0.08999999999999997,-0.014932539682539658,-0.08861081235436474,-0.10202703984667921
target,google__logic8__gin__seed42,google,logic8,raw__zero__200,margin__zero__200,0.12502381708471566,0,0.7733132515791891,0.6521739130434783,0.7107010454435412,-0.07999999999999996,-0.011353174603174601,-0.08052833024426131,-0.07605580687391189
integration,google__logic8__gin__seed42,google,logic8,raw__fit_atom_mean__20,raw__fit_atom_mean__50,0.9848331520309773,0,0.9961198945981554,0.9090909090909091,0.9961198945981554,0.0,-0.00042857142857141706,-0.00041666666666650976,-0.0037286498525627154
integration,google__logic8__gin__seed42,google,logic8,raw__fit_atom_mean__50,raw__fit_atom_mean__100,0.9967126940524228,0,0.9986542443064182,0.9130434782608695,0.9986542443064182,0.0,0.000999999999999987,-0.0004761904761905189,0.0002501253132831671
integration,google__logic8__gin__seed42,google,logic8,raw__fit_atom_mean__100,raw__fit_atom_mean__200,0.9985511374934943,0,0.9949118200639941,0.9,0.9949118200639941,0.0,-0.0029444444444444162,0.0004761904761905189,0.0008928571428572507
integration,google__logic8__gin__seed42,google,logic8,raw__fit_atom_mean__20,raw__fit_atom_mean__200,0.9830417675922527,0,0.9923774703557313,0.9,0.9923774703557313,0.0,-0.0023730158730158463,-0.00041666666666650976,-0.0025856673964222976
target,google__logic8__gin__seed42,google,logic8,raw__fit_atom_mean__20,margin__fit_atom_mean__20,0.4075869070880786,0,0.8942523519820094,0.782608695652174,0.8760810188256278,-0.050000000000000044,0.01723051948051947,-0.048788512104099735,-0.048483996135032625
target,google__logic8__gin__seed42,google,logic8,raw__fit_atom_mean__200,margin__fit_atom_mean__200,0.40652244018900335,0,0.8982671203943751,0.782608695652174,0.875224802861995,-0.050000000000000044,0.019424963924963914,-0.04745517877076655,-0.04531974256729976
target,google__logic8__gin__seed42,google,logic8,raw__none__0,margin__none__0,0.41011489466566664,0,0.8927008361674669,0.8421052631578947,0.9257642029684768,0.040000000000000036,-0.01430988455988455,0.036727866488964755,0.03734364836790438
