dataset,seed,method,proxy,n_calibration_pairs,n_calibration_components,max_pairs_per_calibration_component,minimum_components_alpha_0_10,component_crc_numerically_feasible,component_crc_fraction,component_calibration_empirical_risk,component_calibration_corrected_risk,pair_crc_descriptive_fraction,pair_calibration_empirical_risk,pair_calibration_corrected_risk,fallback_when_infeasible,guarantee
CHEMBL233_Ki,29,integrated_gradients,main_variable_plus_attachment_symmetry_closed,75,13,41,9,True,0.97,0.022601781552216524,0.0924159400127725,0.93,0.0859644408286499,0.09799122450195713,not_needed,none; clustered retrospective stress test
CHEMBL233_Ki,29,integrated_gradients,variable_only_symmetry_closed,75,13,41,9,True,0.97,0.021799728106319177,0.09167117609872495,0.93,0.08115233081464966,0.09324243172498324,not_needed,none; clustered retrospective stress test
CHEMBL233_Ki,29,integrated_gradients,one_hop_expanded_symmetry_closed,75,13,41,9,True,0.97,0.021066702591519583,0.09099050954926817,0.93,0.08142297286566898,0.09350951269638386,not_needed,none; clustered retrospective stress test
CHEMBL233_Ki,43,atom_occlusion,main_variable_plus_attachment_symmetry_closed,75,13,41,9,True,0.98,0.015146179013841663,0.08549288051285298,0.88,0.08647100004884935,0.09849111846925922,not_needed,none; clustered retrospective stress test
CHEMBL233_Ki,43,atom_occlusion,variable_only_symmetry_closed,75,13,41,9,True,0.98,0.013010858226618079,0.0835100826390025,0.88,0.08614401620923359,0.0981684370485858,not_needed,none; clustered retrospective stress test
CHEMBL233_Ki,43,atom_occlusion,one_hop_expanded_symmetry_closed,75,13,41,9,True,0.97,0.029200417305265167,0.09854324464060338,0.9,0.08695686390883543,0.09897058938371912,not_needed,none; clustered retrospective stress test
CHEMBL233_Ki,43,integrated_gradients,main_variable_plus_attachment_symmetry_closed,75,13,41,9,True,0.97,0.02765225092989088,0.09710566157775581,0.9400000000000001,0.08556081337504388,0.09759290793589857,not_needed,none; clustered retrospective stress test
CHEMBL233_Ki,43,integrated_gradients,variable_only_symmetry_closed,75,13,41,9,True,0.96,0.025439817951849925,0.0950512595267178,0.9400000000000001,0.06667579848713694,0.0789563800859904,not_needed,none; clustered retrospective stress test
CHEMBL233_Ki,43,integrated_gradients,one_hop_expanded_symmetry_closed,75,13,41,9,True,0.97,0.02353382282652265,0.09328140691034247,0.9400000000000001,0.08490814727433713,0.09694882954704324,not_needed,none; clustered retrospective stress test
CHEMBL234_Ki,17,atom_occlusion,main_variable_plus_attachment_symmetry_closed,64,7,57,9,False,,,,0.92,0.07476957466042944,0.08900388889642283,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL234_Ki,17,atom_occlusion,variable_only_symmetry_closed,64,7,57,9,False,,,,0.92,0.08298503102206725,0.09709295362172775,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL234_Ki,17,atom_occlusion,one_hop_expanded_symmetry_closed,64,7,57,9,False,,,,0.91,0.08233936822406154,0.09645722409753751,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL234_Ki,17,integrated_gradients,main_variable_plus_attachment_symmetry_closed,64,7,57,9,False,,,,0.93,0.07541270212268214,0.08963712209002547,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL234_Ki,17,integrated_gradients,variable_only_symmetry_closed,64,7,57,9,False,,,,0.93,0.08432062547035739,0.09840800046312112,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL234_Ki,17,integrated_gradients,one_hop_expanded_symmetry_closed,64,7,57,9,False,,,,0.91,0.08570610314167706,0.09977216309334357,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL234_Ki,29,atom_occlusion,main_variable_plus_attachment_symmetry_closed,64,7,57,9,False,,,,0.88,0.0841199747778987,0.09821043670439256,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL234_Ki,29,atom_occlusion,variable_only_symmetry_closed,64,7,57,9,False,,,,0.87,0.0831800282577846,0.09728495089997254,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL234_Ki,29,atom_occlusion,one_hop_expanded_symmetry_closed,64,7,57,9,False,,,,0.87,0.08255572158027466,0.0966702489405781,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
CHEMBL234_Ki,29,integrated_gradients,main_variable_plus_attachment_symmetry_closed,64,7,57,9,False,,,,0.93,0.0780663433646479,0.09224993808211487,pair_crc_descriptive_finite_pool_only,none; clustered retrospective stress test
