method,proxy,policy,aggregation,metric,target_macro_mean,bootstrap_ci_low,bootstrap_ci_high,n_targets
atom_occlusion,variable_only_symmetry_closed,component_crc_cluster_stress_test,pair_weighted,risk,0.021587895098624407,0.011529171688661032,0.030890315487062826,7
atom_occlusion,variable_only_symmetry_closed,component_crc_cluster_stress_test,pair_weighted,retained_fraction,0.977305470418894,0.9650126048459181,0.9892035636208911,7
atom_occlusion,variable_only_symmetry_closed,component_crc_cluster_stress_test,pair_weighted,precision,0.20142668902966127,0.18195421449898835,0.22177196226172566,7
atom_occlusion,variable_only_symmetry_closed,component_crc_cluster_stress_test,pair_weighted,iou,0.20056337777016373,0.18119692027080075,0.22078364821262017,7
atom_occlusion,variable_only_symmetry_closed,fixed_20_percent,component_weighted,risk,0.7665886913649076,0.73880396829294,0.7919212747109583,11
atom_occlusion,variable_only_symmetry_closed,fixed_20_percent,component_weighted,retained_fraction,0.20858560651123711,0.2077955937020859,0.20945532941501308,11
atom_occlusion,variable_only_symmetry_closed,fixed_20_percent,component_weighted,precision,0.2013729132724835,0.17941159076648408,0.22676815707793227,11
atom_occlusion,variable_only_symmetry_closed,fixed_20_percent,component_weighted,iou,0.11308911244305339,0.10458165900686284,0.12313240162274672,11
atom_occlusion,variable_only_symmetry_closed,fixed_20_percent,pair_weighted,risk,0.7750650811060974,0.7581979578939682,0.7903347805602924,11
atom_occlusion,variable_only_symmetry_closed,fixed_20_percent,pair_weighted,retained_fraction,0.20903721471586334,0.20824810830694235,0.20978947020133848,11
atom_occlusion,variable_only_symmetry_closed,fixed_20_percent,pair_weighted,precision,0.19624275368275707,0.17830747128001084,0.214900005402664,11
atom_occlusion,variable_only_symmetry_closed,fixed_20_percent,pair_weighted,iou,0.11283421925735239,0.10470238815919795,0.12230514345762582,11
atom_occlusion,variable_only_symmetry_closed,fixed_50_percent,component_weighted,risk,0.4894334753267388,0.4535345610675963,0.5263039893668396,11
atom_occlusion,variable_only_symmetry_closed,fixed_50_percent,component_weighted,retained_fraction,0.5061701344665391,0.5054013702280775,0.5069856234060559,11
atom_occlusion,variable_only_symmetry_closed,fixed_50_percent,component_weighted,precision,0.20257662851082775,0.17919245357938002,0.22909360594855896,11
atom_occlusion,variable_only_symmetry_closed,fixed_50_percent,component_weighted,iou,0.16842900203775182,0.14878634805960833,0.19179531042738768,11
atom_occlusion,variable_only_symmetry_closed,fixed_50_percent,pair_weighted,risk,0.48816734436031733,0.4668887703303101,0.5103006320837067,11
atom_occlusion,variable_only_symmetry_closed,fixed_50_percent,pair_weighted,retained_fraction,0.5067254641952912,0.5058372149015802,0.5076919992041714,11
atom_occlusion,variable_only_symmetry_closed,fixed_50_percent,pair_weighted,precision,0.2030634981142388,0.18449160891977995,0.22253409902834695,11
atom_occlusion,variable_only_symmetry_closed,fixed_50_percent,pair_weighted,iou,0.17005925395719815,0.15438613215903335,0.18818964977457914,11
atom_occlusion,variable_only_symmetry_closed,oracle_proxy,component_weighted,risk,0.0,0.0,0.0,11
atom_occlusion,variable_only_symmetry_closed,oracle_proxy,component_weighted,retained_fraction,0.21101189671729487,0.18799035349429938,0.23392478371427883,11
atom_occlusion,variable_only_symmetry_closed,oracle_proxy,component_weighted,precision,1.0,1.0,1.0,11
atom_occlusion,variable_only_symmetry_closed,oracle_proxy,component_weighted,iou,1.0,1.0,1.0,11
atom_occlusion,variable_only_symmetry_closed,oracle_proxy,pair_weighted,risk,0.0,0.0,0.0,11
atom_occlusion,variable_only_symmetry_closed,oracle_proxy,pair_weighted,retained_fraction,0.21066223695181804,0.19371853651392093,0.22689398710855807,11
atom_occlusion,variable_only_symmetry_closed,oracle_proxy,pair_weighted,precision,1.0,1.0,1.0,11
atom_occlusion,variable_only_symmetry_closed,oracle_proxy,pair_weighted,iou,1.0,1.0,1.0,11
