cell_id,family,task,model,seed,method,origin,fraction,index,empirical_risk,corrected_risk,n_calibration,alpha,risk,mean_atom_fraction,precision,iou,tie_inflation,median_atom_fraction
bxaic__P__gcn__seed42,bxaic,P,gcn,42,atom_occlusion,fresh_full_partition,0.01,1,0.09595347202115938,0.09732740291474419,657,0.1,0.09697616293596378,0.03689358576970447,0.9922936259143155,0.8953174629783518,0.0021385983086090045,0.03306010928961749
bxaic__P__gcn__seed42,bxaic,P,gcn,42,saliency,fresh_full_partition,0.03,3,0.09454849325921043,0.09592455937887728,657,0.1,0.09486281973604489,0.04930913130286231,0.7670062695924765,0.7251476295847493,0.0037770900015447295,0.045454545454545456
bxaic__P__gin__seed123,bxaic,P,gin,123,atom_occlusion,fresh_full_partition,0.01,1,0.09366823524760673,0.09504563914540667,657,0.1,0.1074216620247415,0.03627484293293624,0.9929467084639498,0.8855250464392083,0.001519855471840768,0.03225806451612903
bxaic__P__gin__seed123,bxaic,P,gin,123,saliency,fresh_full_partition,0.04,4,0.08654673437106959,0.08793496121852996,657,0.1,0.09213512991403458,0.06165592628734526,0.6099371665841721,0.5861405946638679,0.005642453811166465,0.05714285714285714
bxaic__P__gin__seed2026,bxaic,P,gin,2026,atom_occlusion,fresh_full_partition,0.01,1,0.09327948143419539,0.09465747614326192,657,0.1,0.10711961758200003,0.036018227745270213,0.9929467084639498,0.8858270908819499,0.001263240284174746,0.03225806451612903
bxaic__P__gin__seed2026,bxaic,P,gin,2026,saliency,fresh_full_partition,0.01,1,0.08581659036937038,0.0872059268581707,657,0.1,0.09772717294384269,0.03759861647398308,0.9801462904911181,0.8949583025002534,0.002843629012887616,0.03333333333333333
bxaic__P__gin__seed42,bxaic,P,gin,42,atom_occlusion,fresh_full_partition,0.01,1,0.09599513805799059,0.09736900562933098,657,0.1,0.10729358999228075,0.03638445478503048,0.9898119122257053,0.8856531184716689,0.0016294673239350102,0.03225806451612903
bxaic__P__gin__seed42,bxaic,P,gin,42,saliency,fresh_full_partition,0.01,1,0.09759800142555987,0.09896943303433552,657,0.1,0.10806737057889558,0.03676141775406611,0.9691745036572623,0.8846181048652008,0.0020064302929706417,0.03333333333333333
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,atom_occlusion,fresh_full_partition,0.81,81,0.095670368590421,0.09622653687542101,1625,0.1,0.09614609142183378,0.8294893032227937,0.36985316877058694,0.35422719850270573,0.0006670955373845382,0.8275862068965517
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,saliency,fresh_full_partition,0.84,84,0.09783482455201913,0.09838966168329112,1625,0.1,0.09581153826947708,0.8651154355655879,0.3539890082131223,0.33901422116277513,0.007744064029113152,0.8611111111111112
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,atom_occlusion,fresh_full_partition,0.81,81,0.09541859353281121,0.09597491666102011,1625,0.1,0.09856336005483764,0.8298371948574047,0.3682160909747259,0.35227919735863905,0.001014987171995531,0.8275862068965517
bxaic__PAINS__gcn__seed2026,bxaic,PAINS,gcn,2026,saliency,fresh_full_partition,0.8200000000000001,82,0.09889257700569917,0.0994467636127069,1625,0.1,0.09982733707702494,0.8454185141077121,0.36016656045695034,0.3445738557400557,0.007321429834116495,0.8404545454545455
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,atom_occlusion,fresh_full_partition,0.79,79,0.0967050924096411,0.09726062433312863,1625,0.1,0.09816344683692313,0.8092041535968443,0.3775367982707532,0.36063571608794326,0.0006049127501682528,0.8076923076923077
bxaic__PAINS__gcn__seed42,bxaic,PAINS,gcn,42,saliency,fresh_full_partition,0.8200000000000001,82,0.09512773812411822,0.09568424013019221,1625,0.1,0.0912576178469887,0.8451604309714636,0.3633927261286083,0.3482953650099599,0.007063346697868199,0.84
bxaic__PAINS__gin__seed123,bxaic,PAINS,gin,123,atom_occlusion,fresh_full_partition,0.63,63,0.09677497811389214,0.09733046705724169,1625,0.1,0.09817370921329024,0.6502193238880956,0.4649118369753607,0.4395793301308111,0.0012100869264585843,0.6486486486486487
