cell_id,family,task,model,seed,method,origin,fraction,index,empirical_risk,corrected_risk,n_calibration,alpha,risk,mean_atom_fraction,precision,iou,tie_inflation,median_atom_fraction,random_atom_fraction,saving_vs_random
bxaic__indole__gin__seed123,bxaic,indole,gin,123,gradinput,historical_full_partition,0.93,93,0.08839004917436291,0.08887289342797974,1887,0.1,0.09009857750382928,0.9462280636892683,0.3023874583842541,0.29378866586940994,,0.9444444444444444,0.90726752777742,-0.038960535911848226
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,atom_occlusion,fresh_full_partition,0.37,37,0.09522818444387073,0.09570740680380638,1887,0.1,0.08926998351064405,0.38566737041785554,0.7131287552685726,0.6518451693270089,0.0,0.38461538461538464,0.90726752777742,0.5216001573595646
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,saliency,fresh_full_partition,0.63,63,0.09649694943812592,0.09697549978270469,1887,0.1,0.09694676976756025,0.6469652587253985,0.4310165093390433,0.4086132805379978,0.0,0.6451612903225806,0.90726752777742,0.2603022690520216
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,ig,historical_full_partition,0.66,66,0.0984317650984318,0.09890929064658048,1887,0.1,0.09508876718541043,0.6771674344541085,0.4150012599111202,0.39468202735221625,,0.6764705882352942,0.90726752777742,0.2301000933233115
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,gradinput,historical_full_partition,0.96,96,0.09640288855975132,0.09688148872471063,1887,0.1,0.0988452823320176,0.9747994993281845,0.29768996914487983,0.29166631002851645,,0.9696969696969697,0.90726752777742,-0.06753197155076451
bxaic__indole__gin__seed42,bxaic,indole,gin,42,atom_occlusion,fresh_full_partition,0.35000000000000003,35,0.09437001103667772,0.09484968793761275,1887,0.1,0.09218199760295051,0.3678004329265347,0.7414573409404199,0.6744300638999857,0.0,0.36585365853658536,0.90726752777742,0.5394670948508853
bxaic__indole__gin__seed42,bxaic,indole,gin,42,saliency,fresh_full_partition,0.56,56,0.09467635055870352,0.09515586520353599,1887,0.1,0.08671667846681384,0.5771687133266271,0.48722820696461744,0.4619173808242386,0.0,0.5757575757575758,0.90726752777742,0.3300988144507929
bxaic__indole__gin__seed42,bxaic,indole,gin,42,ig,historical_full_partition,0.67,67,0.09669420551773497,0.09717265138345828,1887,0.1,0.09801464452249513,0.6886269315023926,0.40922584978992593,0.39055677558899315,,0.6875,0.90726752777742,0.2186405962750274
bxaic__indole__gin__seed42,bxaic,indole,gin,42,gradinput,historical_full_partition,0.93,93,0.09004298416063124,0.09052495291902232,1887,0.1,0.0921752491527803,0.9462280636892683,0.3024850796968595,0.2939082949413037,,0.9444444444444444,0.90726752777742,-0.038960535911848226
bxaic__P__gcn__seed123,bxaic,P,gcn,123,atom_occlusion,fresh_full_partition,0.02,2,0.09194353263652216,0.09332355766291041,657,0.1,0.10976490624748046,0.03654573825758572,0.9612068965517241,0.8514419903042437,0.0,0.03333333333333333,0.9155993798160156,0.8790536415584299
bxaic__P__gcn__seed123,bxaic,P,gcn,123,saliency,fresh_full_partition,0.04,4,0.08401357498859514,0.08540565162235111,657,0.1,0.07099281718957176,0.0560134724761788,0.6812441868476351,0.6434018398774991,0.0,0.05405405405405406,0.9155993798160156,0.8595859073398368
bxaic__P__gcn__seed123,bxaic,P,gcn,123,ig,historical_full_partition,0.02,2,0.09194353263652216,0.09332355766291041,657,0.1,0.10976490624748046,0.03654573825758572,0.9612068965517241,0.8514419903042437,,0.03333333333333333,0.9155993798160156,0.8790536415584299
bxaic__P__gcn__seed123,bxaic,P,gcn,123,gradinput,historical_full_partition,0.02,2,0.09194353263652216,0.09332355766291041,657,0.1,0.10976490624748046,0.03654573825758572,0.9612068965517241,0.8514419903042437,,0.03333333333333333,0.9155993798160156,0.8790536415584299
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,atom_occlusion,fresh_full_partition,0.02,2,0.09194353263652216,0.09332355766291041,657,0.1,0.10976490624748046,0.03654573825758572,0.9612068965517241,0.8514419903042437,0.0,0.03333333333333333,0.9084086740208712,0.8718629357632856
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,saliency,fresh_full_partition,0.07,7,0.06874682902080163,0.07016210739614996,657,0.1,0.10280265711300196,0.08760955216113984,0.4377302972420187,0.42875383309314075,0.0,0.0851063829787234,0.9084086740208712,0.8207991218597314
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,ig,historical_full_partition,0.02,2,0.09194353263652216,0.09332355766291041,657,0.1,0.10976490624748046,0.03654573825758572,0.9612068965517241,0.8514419903042437,,0.03333333333333333,0.9084086740208712,0.8718629357632856
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,gradinput,historical_full_partition,0.02,2,0.09194353263652216,0.09332355766291041,657,0.1,0.10976490624748046,0.03654573825758572,0.9612068965517241,0.8514419903042437,,0.03333333333333333,0.9084086740208712,0.8718629357632856
bxaic__P__gcn__seed42,bxaic,P,gcn,42,atom_occlusion,fresh_full_partition,0.02,2,0.09194353263652216,0.09332355766291041,657,0.1,0.10976490624748046,0.03654573825758572,0.9612068965517241,0.8514419903042437,0.0,0.03333333333333333,0.9274815943093282,0.8909358560517425
bxaic__P__gcn__seed42,bxaic,P,gcn,42,saliency,fresh_full_partition,0.04,4,0.07424695905759565,0.0756538785727057,657,0.1,0.0858830993212332,0.0560134724761788,0.6676600698152423,0.6300789558649599,0.0,0.05405405405405406,0.9274815943093282,0.8714681218331494
bxaic__P__gcn__seed42,bxaic,P,gcn,42,ig,historical_full_partition,0.02,2,0.09194353263652216,0.09332355766291041,657,0.1,0.10976490624748046,0.03654573825758572,0.9612068965517241,0.8514419903042437,,0.03333333333333333,0.9274815943093282,0.8909358560517425
bxaic__P__gcn__seed42,bxaic,P,gcn,42,gradinput,historical_full_partition,0.02,2,0.09194353263652216,0.09332355766291041,657,0.1,0.10976490624748046,0.03654573825758572,0.9612068965517241,0.8514419903042437,,0.03333333333333333,0.9274815943093282,0.8909358560517425
bxaic__P__gin__seed123,bxaic,P,gin,123,atom_occlusion,fresh_full_partition,0.02,2,0.09194353263652216,0.09332355766291041,657,0.1,0.10976490624748046,0.03654573825758572,0.9612068965517241,0.8514419903042437,0.0,0.03333333333333333,0.9155993798160156,0.8790536415584299
bxaic__P__gin__seed123,bxaic,P,gin,123,saliency,fresh_full_partition,0.04,4,0.09403024527923803,0.09540709900981668,657,0.1,0.10573680883011512,0.0560134724761788,0.6310874470357228,0.5973464584772901,0.0,0.05405405405405406,0.9155993798160156,0.8595859073398368
bxaic__P__gin__seed123,bxaic,P,gin,123,ig,historical_full_partition,0.02,2,0.09346560265174286,0.09484331450181618,657,0.1,0.11289970248572498,0.03654573825758572,0.9580721003134797,0.8483071940659993,,0.03333333333333333,0.9155993798160156,0.8790536415584299
bxaic__P__gin__seed123,bxaic,P,gin,123,gradinput,historical_full_partition,0.02,2,0.09346560265174286,0.09484331450181618,657,0.1,0.11289970248572498,0.03654573825758572,0.9580721003134797,0.8483071940659993,,0.03333333333333333,0.9155993798160156,0.8790536415584299
bxaic__P__gin__seed2026,bxaic,P,gin,2026,atom_occlusion,fresh_full_partition,0.02,2,0.09194353263652216,0.09332355766291041,657,0.1,0.10976490624748046,0.03654573825758572,0.9612068965517241,0.8514419903042437,0.0,0.03333333333333333,0.9084086740208712,0.8718629357632856
bxaic__P__gin__seed2026,bxaic,P,gin,2026,saliency,fresh_full_partition,0.02,2,0.09803181269740495,0.09940258501853351,657,0.1,0.1212591591210437,0.03654573825758572,0.9486677115987461,0.8399477374306805,0.0,0.03333333333333333,0.9084086740208712,0.8718629357632856
bxaic__P__gin__seed2026,bxaic,P,gin,2026,ig,historical_full_partition,0.02,2,0.09194353263652216,0.09332355766291041,657,0.1,0.10976490624748046,0.03654573825758572,0.9612068965517241,0.8514419903042437,,0.03333333333333333,0.9084086740208712,0.8718629357632856
bxaic__P__gin__seed2026,bxaic,P,gin,2026,gradinput,historical_full_partition,0.02,2,0.09194353263652216,0.09332355766291041,657,0.1,0.10976490624748046,0.03654573825758572,0.9612068965517241,0.8514419903042437,,0.03333333333333333,0.9084086740208712,0.8718629357632856
bxaic__P__gin__seed42,bxaic,P,gin,42,atom_occlusion,fresh_full_partition,0.02,2,0.09346560265174286,0.09484331450181618,657,0.1,0.11289970248572498,0.03654573825758572,0.9580721003134797,0.8483071940659993,0.0,0.03333333333333333,0.9274815943093282,0.8909358560517425
bxaic__P__gin__seed42,bxaic,P,gin,42,saliency,fresh_full_partition,0.03,3,0.07038085470801024,0.07179364976164548,657,0.1,0.08514780520358614,0.04553204130131758,0.8057471264367815,0.7434572104703951,0.0,0.043478260869565216,0.9274815943093282,0.8819495530080106
bxaic__P__gin__seed42,bxaic,P,gin,42,ig,historical_full_partition,0.02,2,0.09194353263652216,0.09332355766291041,657,0.1,0.10976490624748046,0.03654573825758572,0.9612068965517241,0.8514419903042437,,0.03333333333333333,0.9274815943093282,0.8909358560517425
bxaic__P__gin__seed42,bxaic,P,gin,42,gradinput,historical_full_partition,0.02,2,0.09346560265174286,0.09484331450181618,657,0.1,0.11289970248572498,0.03654573825758572,0.9580721003134797,0.8483071940659993,,0.03333333333333333,0.9274815943093282,0.8909358560517425
bxaic__PAINS__gcn__seed123,bxaic,PAINS,gcn,123,atom_occlusion,fresh_full_partition,0.81,81,0.09581566773572013,0.0963717466608522,1625,0.1,0.09641597394536594,0.8288222076854092,0.36999860885453434,0.35431531068797456,0.0,0.8260869565217391,0.9091218677307263,0.08029966004531719
