cell_id,family,task,model,seed,method,fraction,index,empirical_risk,corrected_risk,n_calibration,alpha,risk,mean_atom_fraction,precision,iou,tie_inflation,median_atom_fraction
bxaic__rings-count__gin__seed2026,bxaic,rings-count,gin,2026,atom_occlusion,0.91,91,0.0799371875439886,0.08904672034058271,100,0.1,0.08175953198885288,0.9281710810469108,0.6392149110726708,0.61180799729936,0.0,0.9240384615384616
bxaic__rings-count__gin__seed2026,bxaic,rings-count,gin,2026,saliency,0.74,74,0.08920534314382796,0.09822311202359203,100,0.1,0.10180456416636696,0.7574352148819574,0.7492537977684494,0.684792457563343,0.0,0.7571662571662572
bxaic__rings-count__gin__seed42,bxaic,rings-count,gin,42,atom_occlusion,0.91,91,0.07913822428052228,0.08825566760447745,100,0.1,0.07892619865551959,0.9281710810469108,0.6406967951306419,0.6138799534999912,0.0,0.9240384615384616
bxaic__rings-count__gin__seed42,bxaic,rings-count,gin,42,saliency,0.81,81,0.08912427041659912,0.0981428419966328,100,0.1,0.0928039906988605,0.8296037369165117,0.699199707199209,0.6545307987304789,0.0,0.8268365817091454
bxaic__rings-max__gcn__seed123,bxaic,rings-max,gcn,123,atom_occlusion,0.77,77,0.08067397645291065,0.08977621430981254,100,0.1,0.07770570365307207,0.7826963069354224,0.3201619549094082,0.31127404428158223,0.0,0.7795363908275175
bxaic__rings-max__gcn__seed123,bxaic,rings-max,gcn,123,saliency,0.86,86,0.0878206074255573,0.09685208655995772,100,0.1,0.08958254090823083,0.871714262889369,0.28518046701311517,0.2771140719042758,0.0,0.868421052631579
bxaic__rings-max__gcn__seed2026,bxaic,rings-max,gcn,2026,atom_occlusion,0.79,79,0.08434444588360294,0.09341034245901284,100,0.1,0.07157857615879687,0.8032404332913086,0.3168236647406338,0.31006338109531145,0.0,0.8
bxaic__rings-max__gcn__seed2026,bxaic,rings-max,gcn,2026,saliency,0.91,91,0.08849192654742515,0.09751675895784669,100,0.1,0.08772098674189657,0.9220566775769332,0.2719202967224513,0.2653861663604178,0.0,0.9182000669120107
bxaic__rings-max__gcn__seed42,bxaic,rings-max,gcn,42,atom_occlusion,0.74,74,0.08666508846621138,0.09570800838238752,100,0.1,0.09852925599985836,0.7539069755711459,0.32477614360712265,0.3135815120730259,0.0,0.75
bxaic__rings-max__gcn__seed42,bxaic,rings-max,gcn,42,saliency,0.93,93,0.0792706777061616,0.08838680961006097,100,0.1,0.0780103672885831,0.9421143220321102,0.2717794726980784,0.2672293538004828,0.0,0.9411764705882353
bxaic__rings-max__gin__seed123,bxaic,rings-max,gin,123,atom_occlusion,0.76,76,0.09067486735076918,0.09967808648591009,100,0.1,0.07958069455544146,0.7715766970717644,0.3273216183981426,0.31909839424279296,0.0,0.7666666666666667
bxaic__rings-max__gin__seed123,bxaic,rings-max,gin,123,saliency,0.75,75,0.08787343717752513,0.09690439324507438,100,0.1,0.10630495113998575,0.7591510043649586,0.3222747598499649,0.3111797597640842,0.0,0.7567567567567568
bxaic__rings-max__gin__seed2026,bxaic,rings-max,gin,2026,atom_occlusion,0.89,89,0.08556253272588472,0.09461636903552946,100,0.1,0.06535004584486576,0.9028389865485758,0.2842490895260039,0.27924003710431344,0.0,0.9
bxaic__rings-max__gin__seed2026,bxaic,rings-max,gin,2026,saliency,0.73,73,0.09026022433030997,0.09926754884189105,100,0.1,0.11193065422558292,0.7426523525115232,0.3265662735528887,0.3139437170352753,0.0,0.738206497552292
bxaic__rings-max__gin__seed42,bxaic,rings-max,gin,42,atom_occlusion,0.8,80,0.08840417216281356,0.09742987342852828,100,0.1,0.06668997916173466,0.8103590330526649,0.3148178741849246,0.30743616959942005,0.0,0.8068701164676397
bxaic__rings-max__gin__seed42,bxaic,rings-max,gin,42,saliency,0.74,74,0.09037848026275767,0.09938463392352245,100,0.1,0.09842081383785746,0.7539069755711459,0.32603568553674783,0.31444442682762175,0.0,0.75
bxaic__X__gcn__seed123,bxaic,X,gcn,123,atom_occlusion,0.06,6,0.04583333333333333,0.055280528052805276,100,0.1,0.04933333333333333,0.07912975034767791,0.6853333333333333,0.636,0.0,0.07692307692307693
bxaic__X__gcn__seed123,bxaic,X,gcn,123,saliency,0.18,18,0.08333333333333334,0.09240924092409242,100,0.1,0.05433333333333334,0.19823162591653667,0.27671645837822306,0.2682283631401279,0.0,0.1935483870967742
bxaic__X__gcn__seed2026,bxaic,X,gcn,2026,atom_occlusion,0.06,6,0.04583333333333333,0.055280528052805276,100,0.1,0.04933333333333333,0.07912975034767791,0.6853333333333333,0.636,0.0,0.07692307692307693
