cell_id,family,task,model,seed,method,nominal_fraction,risk,mean_atom_fraction,precision,iou,tie_inflation,median_atom_fraction
bxaic__indole__gin__seed123,bxaic,indole,gin,123,saliency,0.5,0.1219106751997927,0.5081667780172197,0.5271028693288733,0.48434460310000255,0.0,0.5
bxaic__indole__gin__seed123,bxaic,indole,gin,123,ig,0.2,0.4636693714454949,0.21298198177985175,0.7246527976828024,0.43052844034535404,,0.21052631578947367
bxaic__indole__gin__seed123,bxaic,indole,gin,123,ig,0.5,0.12440438178797683,0.5081667780172197,0.5292855805467452,0.48776598610525357,,0.5
bxaic__indole__gin__seed123,bxaic,indole,gin,123,gradinput,0.2,0.7364121498325613,0.21298198177985175,0.37264033480589154,0.1880564179399463,,0.21052631578947367
bxaic__indole__gin__seed123,bxaic,indole,gin,123,gradinput,0.5,0.49093893308159686,0.5081667780172197,0.31012551999651544,0.242590398487703,,0.5
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,atom_occlusion,0.2,0.33003895205438244,0.21298198177985175,0.8991536674335245,0.6030254101463749,0.0,0.21052631578947367
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,atom_occlusion,0.5,0.037165141902553926,0.5081667780172197,0.5842153796305615,0.5638041007833324,0.0,0.5
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,saliency,0.2,0.4381097899573807,0.21298198177985175,0.7663586484395903,0.46513209029387764,0.0,0.21052631578947367
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,saliency,0.5,0.16843119357331596,0.5081667780172197,0.4994926150869373,0.44631087999328517,0.0,0.5
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,ig,0.2,0.46358453378621217,0.21298198177985175,0.7335286806242974,0.4367816647700675,,0.21052631578947367
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,ig,0.5,0.15764902120478733,0.5081667780172197,0.5101038337761199,0.4594729342115706,,0.5
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,gradinput,0.2,0.8025839622888892,0.21298198177985175,0.29320918679454383,0.1376187711147966,,0.21052631578947367
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,gradinput,0.5,0.6604160207435789,0.5081667780172197,0.2120995632220226,0.15169815835350026,,0.5
bxaic__indole__gin__seed42,bxaic,indole,gin,42,atom_occlusion,0.2,0.3213261244460487,0.21298198177985175,0.9037524091420831,0.6110897548019706,0.0,0.21052631578947367
bxaic__indole__gin__seed42,bxaic,indole,gin,42,atom_occlusion,0.5,0.03262439900230913,0.5081667780172197,0.5874460701130204,0.5692303555390563,0.0,0.5
bxaic__indole__gin__seed42,bxaic,indole,gin,42,saliency,0.2,0.4710478569236014,0.21298198177985175,0.715801251344554,0.4299214886957938,0.0,0.21052631578947367
bxaic__indole__gin__seed42,bxaic,indole,gin,42,saliency,0.5,0.12871114628017716,0.5081667780172197,0.5242571893311582,0.48147096304462517,0.0,0.5
bxaic__indole__gin__seed42,bxaic,indole,gin,42,ig,0.2,0.5002795979311951,0.21298198177985175,0.6988714487296992,0.4019287912623642,,0.21052631578947367
bxaic__indole__gin__seed42,bxaic,indole,gin,42,ig,0.5,0.18320806281688798,0.5081667780172197,0.49497683731600217,0.4390952454348906,,0.5
bxaic__indole__gin__seed42,bxaic,indole,gin,42,gradinput,0.2,0.6863252105130828,0.21298198177985175,0.4307377195628441,0.22976844376848893,,0.21052631578947367
bxaic__indole__gin__seed42,bxaic,indole,gin,42,gradinput,0.5,0.5270900914241466,0.5081667780172197,0.290192033366543,0.22293833767641005,,0.5
bxaic__P__gcn__seed123,bxaic,P,gcn,123,atom_occlusion,0.2,0.0,0.21389022608176333,0.20367438499800047,0.20367438499800047,0.0,0.21089696071163824
bxaic__P__gcn__seed123,bxaic,P,gcn,123,atom_occlusion,0.5,0.0,0.5084178353449673,0.0860532702532166,0.0860532702532166,0.0,0.5
bxaic__P__gcn__seed123,bxaic,P,gcn,123,saliency,0.2,0.0,0.21389022608176333,0.20367438499800047,0.20367438499800047,0.0,0.21089696071163824
bxaic__P__gcn__seed123,bxaic,P,gcn,123,saliency,0.5,0.0,0.5084178353449673,0.0860532702532166,0.0860532702532166,0.0,0.5
bxaic__P__gcn__seed123,bxaic,P,gcn,123,ig,0.2,0.0,0.21389022608176333,0.20367438499800047,0.20367438499800047,,0.21089696071163824
bxaic__P__gcn__seed123,bxaic,P,gcn,123,ig,0.5,0.0,0.5084178353449673,0.0860532702532166,0.0860532702532166,,0.5
bxaic__P__gcn__seed123,bxaic,P,gcn,123,gradinput,0.2,0.0,0.21389022608176333,0.20367438499800047,0.20367438499800047,,0.21089696071163824
bxaic__P__gcn__seed123,bxaic,P,gcn,123,gradinput,0.5,0.0,0.5084178353449673,0.0860532702532166,0.0860532702532166,,0.5
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,atom_occlusion,0.2,0.0,0.21389022608176333,0.20367438499800047,0.20367438499800047,0.0,0.21089696071163824
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,atom_occlusion,0.5,0.0,0.5084178353449673,0.0860532702532166,0.0860532702532166,0.0,0.5
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,saliency,0.2,0.004702194357366771,0.21389022608176333,0.20290374758943203,0.20290374758943203,0.0,0.21089696071163824
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,saliency,0.5,0.0,0.5084178353449673,0.0860532702532166,0.0860532702532166,0.0,0.5
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,ig,0.2,0.0,0.21389022608176333,0.20367438499800047,0.20367438499800047,,0.21089696071163824
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,ig,0.5,0.0,0.5084178353449673,0.0860532702532166,0.0860532702532166,,0.5
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,gradinput,0.2,0.0,0.21389022608176333,0.20367438499800047,0.20367438499800047,,0.21089696071163824
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,gradinput,0.5,0.0,0.5084178353449673,0.0860532702532166,0.0860532702532166,,0.5
bxaic__P__gcn__seed42,bxaic,P,gcn,42,atom_occlusion,0.2,0.0,0.21389022608176333,0.20367438499800047,0.20367438499800047,0.0,0.21089696071163824
bxaic__P__gcn__seed42,bxaic,P,gcn,42,atom_occlusion,0.5,0.0,0.5084178353449673,0.0860532702532166,0.0860532702532166,0.0,0.5
bxaic__P__gcn__seed42,bxaic,P,gcn,42,saliency,0.2,0.0,0.21389022608176333,0.20367438499800047,0.20367438499800047,0.0,0.21089696071163824
bxaic__P__gcn__seed42,bxaic,P,gcn,42,saliency,0.5,0.0,0.5084178353449673,0.0860532702532166,0.0860532702532166,0.0,0.5
bxaic__P__gcn__seed42,bxaic,P,gcn,42,ig,0.2,0.0,0.21389022608176333,0.20367438499800047,0.20367438499800047,,0.21089696071163824
bxaic__P__gcn__seed42,bxaic,P,gcn,42,ig,0.5,0.0,0.5084178353449673,0.0860532702532166,0.0860532702532166,,0.5
bxaic__P__gcn__seed42,bxaic,P,gcn,42,gradinput,0.2,0.0,0.21389022608176333,0.20367438499800047,0.20367438499800047,,0.21089696071163824
bxaic__P__gcn__seed42,bxaic,P,gcn,42,gradinput,0.5,0.0,0.5084178353449673,0.0860532702532166,0.0860532702532166,,0.5
bxaic__P__gin__seed123,bxaic,P,gin,123,atom_occlusion,0.2,0.0,0.21389022608176333,0.20367438499800047,0.20367438499800047,0.0,0.21089696071163824
bxaic__P__gin__seed123,bxaic,P,gin,123,atom_occlusion,0.5,0.0,0.5084178353449673,0.0860532702532166,0.0860532702532166,0.0,0.5
bxaic__P__gin__seed123,bxaic,P,gin,123,saliency,0.2,0.0031497238393790117,0.21389022608176333,0.20158452083917083,0.20102722373014958,0.0,0.21089696071163824
bxaic__P__gin__seed123,bxaic,P,gin,123,saliency,0.5,0.0,0.5084178353449673,0.0860532702532166,0.0860532702532166,0.0,0.5
bxaic__P__gin__seed123,bxaic,P,gin,123,ig,0.2,0.0,0.21389022608176333,0.20367438499800047,0.20367438499800047,,0.21089696071163824
bxaic__P__gin__seed123,bxaic,P,gin,123,ig,0.5,0.0,0.5084178353449673,0.0860532702532166,0.0860532702532166,,0.5
bxaic__P__gin__seed123,bxaic,P,gin,123,gradinput,0.2,0.0,0.21389022608176333,0.20367438499800047,0.20367438499800047,,0.21089696071163824
bxaic__P__gin__seed123,bxaic,P,gin,123,gradinput,0.5,0.0,0.5084178353449673,0.0860532702532166,0.0860532702532166,,0.5
bxaic__P__gin__seed2026,bxaic,P,gin,2026,atom_occlusion,0.2,0.0,0.21389022608176333,0.20367438499800047,0.20367438499800047,0.0,0.21089696071163824
bxaic__P__gin__seed2026,bxaic,P,gin,2026,atom_occlusion,0.5,0.0,0.5084178353449673,0.0860532702532166,0.0860532702532166,0.0,0.5
bxaic__P__gin__seed2026,bxaic,P,gin,2026,saliency,0.2,0.0,0.21389022608176333,0.20367438499800047,0.20367438499800047,0.0,0.21089696071163824
bxaic__P__gin__seed2026,bxaic,P,gin,2026,saliency,0.5,0.0,0.5084178353449673,0.0860532702532166,0.0860532702532166,0.0,0.5
bxaic__P__gin__seed2026,bxaic,P,gin,2026,ig,0.2,0.0,0.21389022608176333,0.20367438499800047,0.20367438499800047,,0.21089696071163824
bxaic__P__gin__seed2026,bxaic,P,gin,2026,ig,0.5,0.0,0.5084178353449673,0.0860532702532166,0.0860532702532166,,0.5
bxaic__P__gin__seed2026,bxaic,P,gin,2026,gradinput,0.2,0.0,0.21389022608176333,0.20367438499800047,0.20367438499800047,,0.21089696071163824
bxaic__P__gin__seed2026,bxaic,P,gin,2026,gradinput,0.5,0.0,0.5084178353449673,0.0860532702532166,0.0860532702532166,,0.5
bxaic__P__gin__seed42,bxaic,P,gin,42,atom_occlusion,0.2,0.0,0.21389022608176333,0.20367438499800047,0.20367438499800047,0.0,0.21089696071163824
bxaic__P__gin__seed42,bxaic,P,gin,42,atom_occlusion,0.5,0.0,0.5084178353449673,0.0860532702532166,0.0860532702532166,0.0,0.5
bxaic__P__gin__seed42,bxaic,P,gin,42,saliency,0.2,0.0,0.21389022608176333,0.20367438499800047,0.20367438499800047,0.0,0.21089696071163824
