cell_id,family,task,model,seed,method,policy,alpha,n_calibration,n_test,fraction,index,empirical_risk,corrected_risk,risk,mean_atom_fraction,precision,iou,tie_inflation,median_atom_fraction
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,saliency,include_all_exact_ties_v2,0.1,1887,1847,0.85,85,0.09570475452828396,0.09618372446762408,0.09022380945770346,0.8679367174527531,0.3260546427396988,0.31535232503102545,0.0026915116945866245,0.8648648648648649
bxaic__indole__gcn__seed123,bxaic,indole,gcn,123,saliency,include_all_exact_ties_v2,0.2,1887,1847,0.74,74,0.1927033368209839,0.19313093039258214,0.18512250172374697,0.759133240574312,0.3308055934059775,0.30781271741790267,0.0029070727202834433,0.7567567567567568
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,atom_occlusion,index_tiebreak_v1,0.05,1887,1847,0.66,66,0.045926846907239076,0.04643218226375043,0.04172769193749185,0.6771674344541084,0.4382758326115218,0.4273496893175493,0.0,0.6764705882352942
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,atom_occlusion,index_tiebreak_v1,0.1,1887,1847,0.55,55,0.09808541573247458,0.09856312472838014,0.09143814486261788,0.565655995935434,0.49220644033771,0.46430337715311276,0.0,0.5641025641025641
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,atom_occlusion,index_tiebreak_v1,0.2,1887,1847,0.42,42,0.1972814443402679,0.1977066130667815,0.1896713042016233,0.43641888379084137,0.5620473401373309,0.49168962451380405,0.0,0.43478260869565216
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,atom_occlusion,include_all_exact_ties_v2,0.05,1887,1847,0.66,66,0.04579775854285659,0.0463031622724423,0.04158423916815927,0.6779670599535355,0.4378660449244559,0.42700615482720206,0.0007996254994267074,0.6774193548387096
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,atom_occlusion,include_all_exact_ties_v2,0.1,1887,1847,0.55,55,0.09790378613908027,0.09838159133710099,0.09125535826943607,0.566454761138221,0.4916771459887912,0.46393958771244725,0.0007987652027869023,0.5652173913043478
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,atom_occlusion,include_all_exact_ties_v2,0.2,1887,1847,0.42,42,0.19708215002332652,0.19750742430827073,0.18948227047171243,0.4371327760241538,0.5613352689527168,0.4912105560382657,0.0007138922333124984,0.43478260869565216
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,saliency,index_tiebreak_v1,0.05,1887,1847,0.79,79,0.04478935949524186,0.04529529733449274,0.04138693376646858,0.8060574077896853,0.3706803336983484,0.3638091524213213,0.0,0.8055555555555556
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,saliency,index_tiebreak_v1,0.1,1887,1847,0.7000000000000001,70,0.09747100041217689,0.09794903483992597,0.09454752220047422,0.7179879589860199,0.3907315663706389,0.3738886705616405,0.0,0.7142857142857143
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,saliency,index_tiebreak_v1,0.2,1887,1847,0.6,60,0.19648494648494652,0.19691053708532416,0.1941168746731813,0.6127240769996649,0.4039938368291099,0.36693598167965197,0.0,0.6111111111111112
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,saliency,include_all_exact_ties_v2,0.05,1887,1847,0.79,79,0.04468971233677117,0.045195702955237345,0.041194892155910455,0.8093589133254756,0.36946487369803366,0.3627138433704931,0.0033015055357900366,0.8064516129032258
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,saliency,include_all_exact_ties_v2,0.1,1887,1847,0.7000000000000001,70,0.09699201463907348,0.09747030276691426,0.09399522903854382,0.7203699463888554,0.3896978922291893,0.37314953569096254,0.0023819874028365544,0.717948717948718
bxaic__indole__gcn__seed2026,bxaic,indole,gcn,2026,saliency,include_all_exact_ties_v2,0.2,1887,1847,0.6,60,0.196020681314799,0.19644651781833877,0.19363168038722905,0.6142786322096182,0.4033577667687376,0.3665474985358823,0.0015545552099535981,0.6129032258064516
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,atom_occlusion,index_tiebreak_v1,0.05,1887,1847,0.64,64,0.04605623723270782,0.046561504056207834,0.04489499025909456,0.6552994324012759,0.45132027873649677,0.43872739417476103,0.0,0.6538461538461539
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,atom_occlusion,index_tiebreak_v1,0.1,1887,1847,0.54,54,0.09412361079027748,0.09460341819981781,0.09275727405803313,0.5561347932755574,0.4998783380518389,0.4704997266994719,0.0,0.5555555555555556
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,atom_occlusion,index_tiebreak_v1,0.2,1887,1847,0.41000000000000003,41,0.19898027741164998,0.1994045463325122,0.19452116468223715,0.426605049899327,0.5680877361622839,0.4928505582569342,0.0,0.42424242424242425
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,atom_occlusion,include_all_exact_ties_v2,0.05,1887,1847,0.64,64,0.045938472409060654,0.0464438016079969,0.044763106261482354,0.6562972765865256,0.45076071391317113,0.43827071010009905,0.0009978441852495166,0.6545454545454545
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,atom_occlusion,include_all_exact_ties_v2,0.1,1887,1847,0.54,54,0.09387788995632133,0.09435782751460849,0.09255690293183635,0.5569585193228878,0.4993053556342796,0.4700576561232119,0.0008237260473301236,0.5555555555555556
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,atom_occlusion,include_all_exact_ties_v2,0.2,1887,1847,0.41000000000000003,41,0.1988398655065322,0.19926420879810683,0.19422685512967097,0.42727535872236394,0.5674926381287065,0.4925661773154022,0.0006703088230368216,0.42424242424242425
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,saliency,index_tiebreak_v1,0.05,1887,1847,0.92,92,0.048759392877039946,0.04926322794437261,0.04766079435814199,0.9357253254577885,0.31802299382125787,0.31255035115100727,0.0,0.9333333333333333
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,saliency,index_tiebreak_v1,0.1,1887,1847,0.86,86,0.09644123761770823,0.09691981747066637,0.09360846571864566,0.875910682771859,0.323237449104889,0.31255493100168236,0.0,0.875
bxaic__indole__gcn__seed42,bxaic,indole,gcn,42,saliency,index_tiebreak_v1,0.2,1887,1847,0.73,73,0.1962607403783875,0.19668644973199945,0.1925771290010589,0.7459979052719905,0.33647671590363626,0.3109825262701711,0.0,0.7435897435897436
