cell_id,target,method,policy,alpha,rule,q,lambda,empirical_calibration_risk,corrected_calibration_risk,fallback_full,n_calibration,n_test,risk,mean_atom_fraction,precision,iou,full_molecule_fraction
liver__gcn__seed123,observed_class,atom_occlusion,include_all_exact_ties_v2,0.1,corrected,88,0.88,0.06843728167257578,0.09583618515279413,False,33,31,0.16394895427153494,0.9067384790260051,0.26660117167733566,0.2589153553224705,0.03225806451612903
liver__gcn__seed123,observed_class,atom_occlusion,include_all_exact_ties_v2,0.1,naive,88,0.88,0.06843728167257578,0.09583618515279413,False,33,31,0.16394895427153494,0.9067384790260051,0.26660117167733566,0.2589153553224705,0.03225806451612903
liver__gcn__seed123,observed_class,atom_occlusion,include_all_exact_ties_v2,0.2,corrected,83,0.8300000000000001,0.15866192630898515,0.1834071637704856,False,33,31,0.24619914136043172,0.8567788272541939,0.2629555947933253,0.24925463922690805,0.0
liver__gcn__seed123,observed_class,atom_occlusion,include_all_exact_ties_v2,0.2,naive,81,0.81,0.18696695461401344,0.21087969124301306,False,33,31,0.27445941155618575,0.8397774039280035,0.2600704760080072,0.2436898590797735,0.0
liver__gcn__seed123,observed_class,gradinput,index_tiebreak_v1,0.05,corrected,98,0.98,0.0,0.029411764705882353,False,33,31,0.0,1.0,0.2706459829621886,0.2706459829621886,1.0
liver__gcn__seed123,observed_class,gradinput,index_tiebreak_v1,0.05,naive,95,0.9500000000000001,0.04985667926844397,0.0778020710546662,False,33,31,0.08576548899129544,0.9738696534249016,0.268666070907494,0.2659569001417424,0.3548387096774194
liver__gcn__seed123,observed_class,gradinput,index_tiebreak_v1,0.1,corrected,95,0.9500000000000001,0.04985667926844397,0.0778020710546662,False,33,31,0.08576548899129544,0.9738696534249016,0.268666070907494,0.2659569001417424,0.3548387096774194
liver__gcn__seed123,observed_class,gradinput,index_tiebreak_v1,0.1,naive,91,0.91,0.09844055726408668,0.12495701146220177,False,33,31,0.19956477214541732,0.939553010556796,0.2594650030634552,0.2547359433946608,0.06451612903225806
liver__gcn__seed123,observed_class,gradinput,index_tiebreak_v1,0.2,corrected,88,0.88,0.16046654870184285,0.18515870903414158,False,33,31,0.2601618811296231,0.9067384790260051,0.2547663223773201,0.24623225942299945,0.03225806451612903
liver__gcn__seed123,observed_class,gradinput,index_tiebreak_v1,0.2,naive,88,0.88,0.16046654870184285,0.18515870903414158,False,33,31,0.2601618811296231,0.9067384790260051,0.2547663223773201,0.24623225942299945,0.03225806451612903
liver__gcn__seed123,observed_class,gradinput,include_all_exact_ties_v2,0.05,corrected,98,0.98,0.0,0.029411764705882353,False,33,31,0.0,1.0,0.2706459829621886,0.2706459829621886,1.0
