cell_id,target,method,policy,alpha,rule_corrected,q_corrected,lambda_corrected,empirical_calibration_risk_corrected,corrected_calibration_risk_corrected,fallback_full_corrected,n_calibration_corrected,n_test_corrected,risk_corrected,mean_atom_fraction_corrected,precision_corrected,iou_corrected,full_molecule_fraction_corrected,rule_naive,q_naive,lambda_naive,empirical_calibration_risk_naive,corrected_calibration_risk_naive,fallback_full_naive,n_calibration_naive,n_test_naive,risk_naive,mean_atom_fraction_naive,precision_naive,iou_naive,full_molecule_fraction_naive,same_point,delta_q,delta_lambda,delta_risk,delta_mean_atom_fraction,delta_precision,delta_iou,delta_full_molecule_fraction
liver__gcn__seed123,hepatotoxic_class,ig,index_tiebreak_v1,0.05,corrected,95,0.9500000000000001,0.013954672778202191,0.04295600593178448,False,33,31,0.010673913899720352,0.9738696534249016,0.27540965273596546,0.2741310180402488,0.3548387096774194,naive,92,0.92,0.03701864584217525,0.06534162684681716,False,33,31,0.05002166292488872,0.9472535381731719,0.2739162613972465,0.27177201626928627,0.0967741935483871,False,3,0.030000000000000027,-0.03934774902516837,0.02661611525172969,0.0014933913387189524,0.0023590017709625433,0.25806451612903225
liver__gcn__seed123,hepatotoxic_class,ig,index_tiebreak_v1,0.1,corrected,88,0.88,0.06142942025294966,0.0890344373043335,False,33,31,0.07536728504470439,0.9067384790260051,0.2811114821553881,0.27758789051072874,0.03225806451612903,naive,85,0.85,0.09199983023512436,0.1187057175811501,False,33,31,0.12403009177202726,0.8722136505886832,0.2772466922584311,0.2684710951606417,0.0,False,3,0.030000000000000027,-0.04866280672732287,0.034524828437321964,0.0038647898969569883,0.009116795350087026,0.03225806451612903
liver__gcn__seed123,hepatotoxic_class,ig,index_tiebreak_v1,0.2,corrected,79,0.79,0.15145061909767796,0.1764079538300992,False,33,31,0.17279136633975345,0.8164803309362875,0.27480259334026824,0.2588896243419282,0.0,naive,77,0.77,0.18677825442531326,0.21069654105986288,False,33,31,0.181338374886762,0.7969036435440863,0.27803978900780446,0.2602294269454179,0.0,False,2,0.020000000000000018,-0.008547008547008544,0.019576687392201197,-0.003237195667536219,-0.0013398026034897037,0.0
liver__gcn__seed123,hepatotoxic_class,ig,include_all_exact_ties_v2,0.05,corrected,95,0.9500000000000001,0.013954672778202191,0.04295600593178448,False,33,31,0.006065618968844775,0.9764600737572573,0.27501543037654785,0.27392008013830915,0.41935483870967744,naive,92,0.92,0.03701864584217525,0.06534162684681716,False,33,31,0.033892630666824214,0.9530331080656451,0.2744559169878359,0.27246528169090484,0.1935483870967742,False,3,0.030000000000000027,-0.027827011697979437,0.023426965691612178,0.000559513388711963,0.0014547984474043152,0.22580645161290325
liver__gcn__seed123,hepatotoxic_class,ig,include_all_exact_ties_v2,0.1,corrected,86,0.86,0.06142942025294966,0.0890344373043335,False,33,31,0.10721178463113948,0.889671967282993,0.278717694757382,0.272823065996338,0.03225806451612903,naive,83,0.8300000000000001,0.093657431892726,0.1203145662488223,False,33,31,0.12382330930718027,0.8632715579404728,0.27959862805166086,0.27096037971445325,0.03225806451612903,False,3,0.029999999999999916,-0.016611524676040795,0.026400409342520192,-0.0008809332942788517,0.00186268628188474,0.0
liver__gcn__seed123,hepatotoxic_class,ig,include_all_exact_ties_v2,0.2,corrected,76,0.76,0.17189411895294246,0.19625017427785593,False,33,31,0.1553527118043247,0.7996245175856377,0.284376863367328,0.26918929926434526,0.03225806451612903,naive,76,0.76,0.17189411895294246,0.19625017427785593,False,33,31,0.1553527118043247,0.7996245175856377,0.284376863367328,0.26918929926434526,0.03225806451612903,True,0,0.0,0.0,0.0,0.0,0.0,0.0
liver__gcn__seed123,hepatotoxic_class,saliency,index_tiebreak_v1,0.05,corrected,95,0.9500000000000001,0.012887112887112882,0.04191984486102133,False,33,31,0.06988262633423924,0.9738696534249016,0.26382482393690104,0.25854685978252806,0.3548387096774194,naive,90,0.9,0.04704462204462204,0.07507272139625082,False,33,31,0.12522155264090745,0.9252950000969127,0.2602863473852438,0.24988847811201734,0.06451612903225806,False,5,0.050000000000000044,-0.055338926306668215,0.04857465332798894,0.0035384765516572325,0.008658381670510723,0.2903225806451613
liver__gcn__seed123,hepatotoxic_class,saliency,index_tiebreak_v1,0.1,corrected,89,0.89,0.05931013431013432,0.08697748330101274,False,33,31,0.12522155264090745,0.9199599374467046,0.2613903070281029,0.25098134106945635,0.06451612903225806,naive,89,0.89,0.05931013431013432,0.08697748330101274,False,33,31,0.12522155264090745,0.9199599374467046,0.2613903070281029,0.25098134106945635,0.06451612903225806,True,0,0.0,0.0,0.0,0.0,0.0,0.0
liver__gcn__seed123,hepatotoxic_class,saliency,index_tiebreak_v1,0.2,corrected,83,0.8300000000000001,0.17334979834979838,0.19766303957480433,False,33,31,0.21648154712670842,0.8555840841239669,0.25246943102712127,0.23370370160989093,0.0,naive,83,0.8300000000000001,0.17334979834979838,0.19766303957480433,False,33,31,0.21648154712670842,0.8555840841239669,0.25246943102712127,0.23370370160989093,0.0,True,0,0.0,0.0,0.0,0.0,0.0,0.0
liver__gcn__seed123,hepatotoxic_class,saliency,include_all_exact_ties_v2,0.05,corrected,95,0.9500000000000001,0.012887112887112882,0.04191984486102133,False,33,31,0.06527433140336365,0.9753359290847257,0.2648721636939182,0.2600131354423521,0.3870967741935484,naive,90,0.9,0.04704462204462204,0.07507272139625082,False,33,31,0.12522155264090745,0.9278098716933725,0.25976655654287234,0.24939904494376228,0.06451612903225806,False,5,0.050000000000000044,-0.0599472212375438,0.04752605739135318,0.0051056071510458545,0.010614090498589829,0.3225806451612903
