dataset,seed,method,proxy,evaluation_split,stratum,policy,aggregation,n_pairs,n_components,nominal_fraction,risk,retained_fraction,precision,iou,calibration_unit,calibration_empirical_risk,calibration_corrected_risk
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,calibration,all,oracle_proxy,pair_weighted,59,13,0.93,0.0,0.18676170288741692,1.0,1.0,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,calibration,all,oracle_proxy,component_weighted,59,13,0.93,0.0,0.19721144295854998,1.0,1.0,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,all,oracle_proxy,pair_weighted,40,10,0.93,0.0,0.17100522459119788,1.0,1.0,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,all,oracle_proxy,component_weighted,40,10,0.93,0.0,0.19281663587008402,1.0,1.0,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,correct_direction,oracle_proxy,pair_weighted,11,5,0.93,0.0,0.1489846850906883,1.0,1.0,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,correct_direction,oracle_proxy,component_weighted,11,5,0.93,0.0,0.16359942249046427,1.0,1.0,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,direction_error,oracle_proxy,pair_weighted,29,9,0.93,0.0,0.1793578430224256,1.0,1.0,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,direction_error,oracle_proxy,component_weighted,29,9,0.93,0.0,0.19494407584304377,1.0,1.0,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,calibration,all,random_same_nominal_size,pair_weighted,59,13,0.93,0.06214427868496777,0.9378557213150321,0.18676170288741692,0.18406000963427532,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,calibration,all,random_same_nominal_size,component_weighted,59,13,0.93,0.06146215676670592,0.9385378432332941,0.19721144295854998,0.19433766474405503,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,all,random_same_nominal_size,pair_weighted,40,10,0.93,0.06250121363204098,0.9374987863679591,0.17100522459119788,0.16845747317852527,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,all,random_same_nominal_size,component_weighted,40,10,0.93,0.06171403020621794,0.9382859697937821,0.19281663587008402,0.18999083536633044,none,,
CHEMBL204_Ki,17,atom_occlusion,variable_only_symmetry_closed,test,correct_direction,random_same_nominal_size,pair_weighted,11,5,0.93,0.06259255471595802,0.9374074452840421,0.1489846850906883,0.14738589597918897,none,,
