method,score_origin,q,risk,mean_atom_fraction,precision,iou,scope
gradinput,P01_checkpoint_rerun,58,0.26150365637015033,0.5987363943186399,0.30303465938894736,0.2553708273889944,all
gradinput,P01_checkpoint_rerun,59,0.25704202321307995,0.60831384896862,0.3014285685359142,0.25514097728946905,all
gradinput,P01_checkpoint_rerun,60,0.2534352088913123,0.6155517662826564,0.3005047157874938,0.25517296123296923,all
gradinput,P01_checkpoint_rerun,61,0.24466404177367143,0.6304335625589226,0.2986333727558135,0.2554426321285005,all
gradinput,P01_checkpoint_rerun,62,0.23977287055695484,0.6391933574294728,0.29773756006134555,0.25596978202634774,all
gradinput,P01_checkpoint_rerun,63,0.23482714684359376,0.6490924940538245,0.296585399089295,0.25611209452954314,all
gradinput,P01_checkpoint_rerun,64,0.22953928789454014,0.6582858740332683,0.29564191696486386,0.25638030399686457,all
gradinput,P01_checkpoint_rerun,65,0.22446968943075582,0.6678869587517661,0.2945562522903088,0.25655088926939495,all
gradinput,P01_checkpoint_rerun,66,0.21798460780834333,0.6790963654904839,0.29353960700514325,0.257036164806185,all
gradinput,P01_checkpoint_rerun,67,0.21063202016191437,0.6919998829666608,0.29218876657770804,0.2574553176278584,all
gradinput,P01_checkpoint_rerun,68,0.20871077799980958,0.6961221993445886,0.2918554517828477,0.25761634709708836,all
gradinput,P01_checkpoint_rerun,69,0.2005444036412573,0.7101034876341561,0.29057096898763896,0.2580027870848195,all
gradinput,P01_checkpoint_rerun,70,0.1942079646215211,0.721212739835758,0.2896626399546353,0.25851394286571316,all
gradinput,P01_checkpoint_rerun,71,0.18925545663207413,0.7304060254499777,0.288854577246868,0.2587778129823723,all
gradinput,P01_checkpoint_rerun,72,0.18517913176739154,0.7378841497959935,0.2882479407054206,0.25908917733785236,all
gradinput,P01_checkpoint_rerun,73,0.17819812462022738,0.7503238550922391,0.2870823479527465,0.2592861748479221,all
gradinput,P01_checkpoint_rerun,74,0.1721662097227627,0.7602366851487699,0.28649516519642515,0.25987577112099847,all
gradinput,P01_checkpoint_rerun,75,0.17051364386348214,0.7638299623387016,0.2862811504220969,0.2600492828294449,all
gradinput,P01_checkpoint_rerun,76,0.1621042553208004,0.7771710950645029,0.2855081946973252,0.26084631380175616,all
gradinput,P01_checkpoint_rerun,77,0.15508927533222658,0.7893354649652383,0.2846021792002033,0.2613599271450634,all
gradinput,P01_checkpoint_rerun,78,0.14968001215402846,0.7986204688811724,0.28399879826576124,0.26182085107864134,all
gradinput,P01_checkpoint_rerun,79,0.14328311595903734,0.8088645352518671,0.28341225078259047,0.2623855808279565,all
gradinput,P01_checkpoint_rerun,80,0.1393653659048202,0.8155131909273813,0.2830013720679562,0.2626166612310834,all
gradinput,P01_checkpoint_rerun,81,0.1302247140170589,0.830224068096717,0.2821466830940534,0.2634354934151044,all
gradinput,P01_checkpoint_rerun,82,0.12388435181150412,0.8397102978799871,0.28183492484480155,0.26412835322815253,all
gradinput,P01_checkpoint_rerun,83,0.11763759201915767,0.8492688764445301,0.2815287167947137,0.2648168091547045,all
gradinput,P01_checkpoint_rerun,84,0.11223208436068281,0.8579757519523152,0.2810479408868218,0.26527461235156446,all
gradinput,P01_checkpoint_rerun,85,0.10557676659500775,0.8676236887169189,0.28066138214333874,0.2659499233934665,all
gradinput,P01_checkpoint_rerun,86,0.09838318012980234,0.8784812224046893,0.28030515072566653,0.26682193747994054,all
gradinput,P01_checkpoint_rerun,87,0.09037810374492088,0.8904370274722194,0.2799107631261815,0.26764124067438577,all
gradinput,P01_checkpoint_rerun,88,0.0843397962515632,0.8990767610945372,0.2797036132843027,0.2683500675557737,all
gradinput,P01_checkpoint_rerun,89,0.07569126933103862,0.9101769965164279,0.27971214063164623,0.2696682030627336,all
gradinput,P01_checkpoint_rerun,90,0.07191393122878267,0.9155828156240001,0.27960682164847506,0.2701553667659246,all
gradinput,P01_checkpoint_rerun,91,0.06006536163376383,0.9300625897251638,0.27956846528501506,0.2717130230966538,all
gradinput,P01_checkpoint_rerun,92,0.051286152663336894,0.9404097268024116,0.27966704976517137,0.2729156976745888,all
gradinput,P01_checkpoint_rerun,93,0.04342952501312855,0.9498418368168653,0.27975073732452654,0.2740670388748257,all
gradinput,P01_checkpoint_rerun,94,0.038286083998314915,0.9569181537892284,0.27974507291382317,0.2748627234677097,all
gradinput,P01_checkpoint_rerun,95,0.03236268273757165,0.9646818242778838,0.27964971676878053,0.2757087177042105,all
gradinput,P01_checkpoint_rerun,96,0.015259355476385981,0.9828459221633369,0.279900948886801,0.2780879397436537,all
gradinput,P01_checkpoint_rerun,97,0.005169955554262171,0.9938683547064016,0.2803119516714827,0.27985916985455533,all
gradinput,P01_checkpoint_rerun,98,0.0015580093374728016,0.9986007345417334,0.280348395224129,0.2802712374385434,all
gradinput,P01_checkpoint_rerun,99,0.00029295907973525743,0.9997676723499286,0.28039196953259965,0.28038194525159843,all
gradinput,P01_checkpoint_rerun,100,0.0,1.0,0.28038742997514926,0.28038742997514926,all
ig,P01_checkpoint_rerun,0,1.0,0.0,0.0,0.0,all
ig,P01_checkpoint_rerun,1,0.7077079620822371,0.03893550928031149,0.6773952517409096,0.290608544688062,all
ig,P01_checkpoint_rerun,2,0.7036119697151908,0.03999107566494566,0.6702438067641031,0.2874601606092278,all
ig,P01_checkpoint_rerun,3,0.6899504025085833,0.044834826923837834,0.6394848487592628,0.27102172352682163,all
ig,P01_checkpoint_rerun,4,0.6740564125878081,0.05252287762263072,0.6077259893525949,0.2546532823229203,all
ig,P01_checkpoint_rerun,5,0.640667129556316,0.07115131445476044,0.5696414503004988,0.25635071024773237,all
ig,P01_checkpoint_rerun,6,0.6253918029031722,0.08167365641745356,0.545952939703824,0.2502040468928222,all
ig,P01_checkpoint_rerun,7,0.615617866611965,0.0888658396146435,0.5317258676883173,0.2449182513520919,all
ig,P01_checkpoint_rerun,8,0.6088620706936445,0.09495907298355587,0.520043313660807,0.23920129012866756,all
ig,P01_checkpoint_rerun,9,0.5901424547276984,0.10864059190507999,0.5061539609973114,0.24189501227858914,all
ig,P01_checkpoint_rerun,10,0.5759813698544338,0.1191289280286186,0.49387970665496644,0.2430498486190217,all
ig,P01_checkpoint_rerun,11,0.5655144102118078,0.1285261851138177,0.48426427856433885,0.2421588831816079,all
ig,P01_checkpoint_rerun,12,0.5588286282267845,0.13629203869143158,0.47585824273949967,0.23976880417658186,all
ig,P01_checkpoint_rerun,13,0.54454028735689,0.14826615415802416,0.4667996104589026,0.24298960852592383,all
ig,P01_checkpoint_rerun,14,0.5306210690009224,0.1602264540268189,0.4581483069085571,0.2453449284962703,all
ig,P01_checkpoint_rerun,15,0.5229068392727847,0.1681910991607722,0.45220246252008783,0.24519937814090004,all
ig,P01_checkpoint_rerun,16,0.5144160302212021,0.17739304783364707,0.44605985299957424,0.24600890480346907,all
ig,P01_checkpoint_rerun,17,0.5017037275203804,0.1894353779823876,0.43941203702237314,0.24925531326477693,all
ig,P01_checkpoint_rerun,18,0.49281610290695743,0.19888468766031633,0.43454863807709593,0.25049880570014127,all
ig,P01_checkpoint_rerun,19,0.48252704548792374,0.20847964993186308,0.429841223646388,0.2523503217482076,all
ig,P01_checkpoint_rerun,20,0.4766862154277536,0.21459777377101377,0.4271472002654366,0.25351568762636106,all
ig,P01_checkpoint_rerun,21,0.46057276341207365,0.22983864637837426,0.42193881278199147,0.25820366318990057,all
ig,P01_checkpoint_rerun,22,0.45101999776230256,0.2399713413255066,0.418309321461566,0.26036084849788205,all
ig,P01_checkpoint_rerun,23,0.4419081387969948,0.2493677166650029,0.41492436567385127,0.2620824034986131,all
ig,P01_checkpoint_rerun,24,0.4345176411387656,0.2581977047214623,0.41198436981550246,0.2634239164917816,all
ig,P01_checkpoint_rerun,25,0.4283461467142591,0.26450400426389203,0.41011344286059015,0.2647243171950218,all
ig,P01_checkpoint_rerun,26,0.4156321209742732,0.27835512505790844,0.40629117478813154,0.2674720924749855,all
ig,P01_checkpoint_rerun,27,0.4062649625328746,0.28837932653799997,0.4043398031146298,0.2699352433649656,all
ig,P01_checkpoint_rerun,28,0.39440410845618123,0.3008229854464812,0.40075553759681504,0.2719030999380419,all
ig,P01_checkpoint_rerun,29,0.388378136209216,0.3082971561802614,0.3987352302342115,0.27277309341007455,all
ig,P01_checkpoint_rerun,30,0.38083245259556125,0.3173808777177288,0.3965216501671659,0.2741179168318468,all
ig,P01_checkpoint_rerun,31,0.37110986646916505,0.3286002303944226,0.39431353819542614,0.27623399188200276,all
ig,P01_checkpoint_rerun,32,0.36228220484823037,0.33925999046830907,0.3913664889269217,0.27724294296446855,all
ig,P01_checkpoint_rerun,33,0.35607917798962074,0.34670329866357824,0.3896978444858974,0.27819654259690574,all
ig,P01_checkpoint_rerun,34,0.34558722060921715,0.35949862004981753,0.38695632451032863,0.2803274782253362,all
ig,P01_checkpoint_rerun,35,0.33649330218691476,0.3708167592768126,0.3848958095196112,0.28198188747355807,all
ig,P01_checkpoint_rerun,36,0.3324157377994381,0.3770829257526961,0.38350167077492453,0.2823698873607025,all
ig,P01_checkpoint_rerun,37,0.32146425378860316,0.3896106875764167,0.3809317390402022,0.28396105493462054,all
ig,P01_checkpoint_rerun,38,0.31419618829908397,0.3993984527772075,0.37903007494672747,0.28490396434266557,all
ig,P01_checkpoint_rerun,39,0.30761387451230565,0.4082696190713175,0.3775067303554185,0.28622278641019966,all
ig,P01_checkpoint_rerun,40,0.3028301212962518,0.4145591984157344,0.37637345501341085,0.2868438686964249,all
ig,P01_checkpoint_rerun,41,0.29162452545693185,0.4303898690599578,0.37262591438014797,0.2876829807836621,all
ig,P01_checkpoint_rerun,42,0.284553885466593,0.4398554158880383,0.37115481728901806,0.28880013994070813,all
ig,P01_checkpoint_rerun,43,0.27767225081166197,0.450050795678216,0.3691775963199327,0.2896189144591723,all
ig,P01_checkpoint_rerun,44,0.2721670043218714,0.45819079115567507,0.3676291944267723,0.2901905866300956,all
ig,P01_checkpoint_rerun,45,0.26554640727154805,0.4671690544551717,0.3662715403912236,0.2912456903016685,all
ig,P01_checkpoint_rerun,46,0.25583639112166073,0.48145240830700936,0.36329335145646363,0.2920426452787084,all
ig,P01_checkpoint_rerun,47,0.25231040202295196,0.487524496280473,0.36243154892113716,0.29245182498553457,all
ig,P01_checkpoint_rerun,48,0.24354116126229616,0.49969655493487414,0.3603195005929988,0.29362975080740483,all
ig,P01_checkpoint_rerun,49,0.23784537737483477,0.5087908781930854,0.35875639190232306,0.2940040275770308,all
ig,P01_checkpoint_rerun,50,0.237459659127403,0.5094956939082281,0.35867145034850983,0.29401522242868555,all
ig,P01_checkpoint_rerun,51,0.22471694399815736,0.5299123034371523,0.35470750860726985,0.2948902351421564,all
ig,P01_checkpoint_rerun,52,0.22182482808507278,0.53567224485109,0.3539309770192347,0.2950474673970972,all
ig,P01_checkpoint_rerun,53,0.21120732288104274,0.5511786853497651,0.3510329031237526,0.29589171966446387,all
ig,P01_checkpoint_rerun,54,0.2078543953949337,0.557139401899669,0.35030215953538213,0.2963214559286546,all
ig,P01_checkpoint_rerun,55,0.20166045173762226,0.5686496918254478,0.3477584401488634,0.2959086255248322,all
ig,P01_checkpoint_rerun,56,0.1945061688011906,0.5805163440868022,0.34570642211277636,0.2964184072528003,all
ig,P01_checkpoint_rerun,57,0.18966703885741057,0.5886568807532906,0.34438205083203655,0.2966019197177461,all
ig,P01_checkpoint_rerun,58,0.1842858585676103,0.5987363943186399,0.34262920700962957,0.29683657699165916,all
ig,P01_checkpoint_rerun,59,0.1792936213686018,0.60831384896862,0.34089211860285035,0.29682339986598183,all
ig,P01_checkpoint_rerun,60,0.17616160499603073,0.6155517662826564,0.3393940437635367,0.2964184816916694,all
ig,P01_checkpoint_rerun,61,0.16795694944833123,0.6304335625589226,0.33640763259915357,0.295980825106507,all
ig,P01_checkpoint_rerun,62,0.1631791018439081,0.6391933574294728,0.3350243016187646,0.2962843972425287,all
ig,P01_checkpoint_rerun,63,0.15832211132234597,0.6490924940538245,0.3333367453047991,0.29615518067754226,all
ig,P01_checkpoint_rerun,64,0.15400255414119693,0.6582858740332683,0.3315602119601407,0.2958043178754158,all
ig,P01_checkpoint_rerun,65,0.1495481250374333,0.6678869587517661,0.32970015815522663,0.2953777431203968,all
